Typical Measured Spectrum of Semrock BLP01-633R Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
196	8.12235701463946E-05
198.017	5.45247261696059E-05
201.752	3.11741159128837E-05
205.486	2.80365373126137E-05
206	2.32409865717254E-05
206.508	1.77599468554846E-05
210.242	3.17820914818477E-06
213.974	1.63263284622224E-05
216	2.43446368318856E-05
216.491	2.42056282542253E-05
220.223	5.19747467524162E-06
223.953	1.61319593039689E-05
226	6.62558084482777E-06
228.977	1.84189192847913E-05
232.707	3.4434591406037E-06
236	1.25399518917207E-05
236.552	2.14308944994456E-05
240.286	9.20304784391164E-06
244.018	9.10631837909208E-06
247.749	4.78581580088132E-06
251.478	4.02047613154108E-06
255.205	3.41535011829873E-07
258.931	5.57873008675253E-06
262.656	3.1069729731912E-06
266	5.0942196781054E-06
266.551	7.35376786938295E-06
270.28	5.22707652275294E-06
274.006	4.0006278621947E-06
277.731	5.71949314494074E-06
281.455	3.64381029135242E-06
285.177	2.6849173546094E-06
288.897	2.94709013703591E-06
292.616	3.1796487121049E-06
296	9.99341711523945E-06
297.912	1.18597189249486E-05
301.638	8.52967447470455E-06
305.364	3.50069933054136E-06
309.087	5.15342757498038E-06
312.809	1.74148198900428E-06
316.529	4.97427807004422E-06
320.248	2.60640302256455E-06
323	1.73744409421395E-08
323.849	1.66119684434197E-08
327.566	1.37602254438863E-08
331.281	1.16833333137204E-08
334.994	9.98438646996771E-08
337	2.29883278952306E-07
338	1.33115118493325E-07
339	4.84158301848512E-08
340	1.45201259354493E-07
341	1.21035949948508E-07
342	8.47464242967614E-08
343	1.57411835518763E-07
344	1.08975628666935E-07
345	2.17891547383854E-07
346	9.68784949179683E-08
347	4.84348972866378E-08
348	1.33190541038652E-07
349	7.27103747634613E-08
350	7.26999953512104E-08
351	1.090767986398E-07
352	1.45392292053348E-07
353	1.21251294272555E-07
354	1.45472326045107E-07
355	1.21266650773174E-07
356	7.27850832519129E-08
357	1.33416450769473E-07
358	1.69890221701766E-07
359	1.57770347859873E-07
360	6.06707527167487E-08
361	8.49930438913518E-08
362	1.33583981353529E-07
363	1.45720745058395E-07
364	1.94316814842834E-07
365	9.98438646996771E-08
366	1.09350653570883E-07
367	1.82233569957121E-07
368	9.71993550142859E-08
369	1.57985556058416E-07
370	1.33730473737369E-07
371	1.21588467062191E-08
372	3.64748389575863E-08
373	1.58100186808733E-07
374	7.29609336921128E-08
375	1.21617307164554E-07
376	1.45966563354629E-07
377	1.33832127866031E-07
378	2.43377476136745E-07
379	1.21683693381858E-07
380	1.58248055803733E-07
381	1.58215993646123E-07
382	9.73778951884657E-08
383	9.98438646996771E-08
384	9.98438646996771E-08
385	4.87182167282227E-08
386	3.65579961766426E-08
387	9.98438646996771E-08
388	7.31164981524109E-08
389	1.34025175037446E-07
390	1.82776090233038E-07
391	1.34091850160735E-07
392	7.31341777702012E-08
393	1.8285438649337E-07
394	1.34139716175701E-07
395	1.34164118975877E-07
396	1.34173387024991E-07
397	1.34234572208343E-07
398	1.70876123517068E-07
399	1.46474621045523E-07
400	1.09859440551379E-07
401	1.09880691306095E-07
402	7.32663207796978E-08
403	7.32745876410144E-08
404	6.10606443718066E-08
405	1.09934342443942E-07
406	1.09967001474092E-07
407	1.46641327357636E-07
408	1.22213556649676E-07
409	1.3444460610529E-07
410	1.95533594091428E-07
411	1.34462252761616E-07
412	1.22246485717366E-07
413	1.83398754977378E-07
414	1.95595736081896E-07
415	2.20083955600176E-07
416	2.20094597860217E-07
417	2.44554907965369E-07
418	2.93485320115158E-07
419	2.93548849832964E-07
420	4.1587841784641E-07
421	4.40257114750923E-07
422	4.89317088642835E-07
423	5.01552481042015E-07
424	5.25947485443889E-07
425	6.36006249457726E-07
426	6.36022358705336E-07
427	5.99331884884919E-07
428	5.87184229817923E-07
429	5.74863034558996E-07
430	5.87031468985417E-07
431	6.1155762175034E-07
432	6.72659659460982E-07
433	7.09292525166288E-07
434	6.84813610245467E-07
435	6.35846643510169E-07
436	6.72644171078255E-07
437	7.09320290218416E-07
438	6.9700739059619E-07
439	7.33628818635734E-07
440	8.19193283853494E-07
441	8.803074617622E-07
442	9.16816420564201E-07
443	8.43475326580861E-07
444	7.82402776737999E-07
445	7.33421071193892E-07
446	6.72187424191198E-07
447	6.11043858011171E-07
448	5.2545361361873E-07
449	4.3989029758182E-07
450	4.76507107721552E-07
451	4.76379849730704E-07
452	2.93127377861346E-07
453	2.93104430434769E-07
454	2.93045720198905E-07
455	2.56406708159827E-07
456	2.81088697495151E-07
457	3.18141542999159E-07
458	3.67086474588589E-07
459	4.28219443837344E-07
460	4.89382441272233E-07
461	5.13857125445049E-07
462	5.38323554721044E-07
463	5.26077082563928E-07
464	5.75009980823952E-07
465	4.52665486638167E-07
466	2.69148759862171E-07
467	2.69135125973209E-07
468	2.20191922387735E-07
469	2.20154913721612E-07
470	1.58992040494285E-07
471	3.66900567154281E-08
472	4.89177398500965E-08
473	1.22284491820457E-07
474	1.22273792611522E-07
475	1.46724413804049E-07
476	1.3447308957554E-07
477	9.77733246622253E-08
478	8.55439663714433E-08
479	7.33203252934273E-08
480	6.10945377314487E-08
481	7.33019255371299E-08
482	7.32880865621287E-08
483	9.77109831477876E-08
484	8.5488831913309E-08
485	7.32671642942436E-08
486	9.76765660690925E-08
487	8.54549812236268E-08
488	1.09861211290621E-07
489	1.34247554470128E-07
490	1.70827735181399E-07
491	2.31801041573392E-07
492	2.92759086321114E-07
493	3.41501317165508E-07
494	4.38991774758193E-07
495	4.99853092194683E-07
496	5.11963952276605E-07
497	6.0940551907506E-07
498	5.24006148764249E-07
499	3.41161003423742E-07
500	2.55838195428389E-07
501	1.70518452669741E-07
502	1.09589862766471E-07
503	3.6523667722195E-08
504	9.98438646996771E-08
505	9.98438646996771E-08
506	2.43358983726829E-08
507	9.98438646996771E-08
508	9.98438646996771E-08
509	9.98438646996771E-08
510	9.98438646996771E-08
511	9.98438646996771E-08
512	9.98438646996771E-08
513	9.98438646996771E-08
514	9.98438646996771E-08
515	9.98438646996771E-08
516	9.98438646996771E-08
517	9.98438646996771E-08
518	9.98438646996771E-08
519	9.98438646996771E-08
520	1.09161471939323E-07
521	7.27512371665727E-08
522	6.06129446521742E-08
523	9.69733464869557E-08
524	8.48409226968906E-08
525	8.48303742667285E-08
526	7.27038456054511E-08
527	9.69233425619763E-08
528	9.69059365340864E-08
529	6.05518453569528E-08
530	1.81622388643015E-07
531	1.21064380235553E-07
532	7.26268792497073E-08
533	9.68078072191719E-08
534	9.6782399017705E-08
535	9.67587798310574E-08
536	7.25588486973839E-08
537	1.08814152296541E-07
538	1.2087747600351E-07
539	2.41667017923739E-07
540	1.32882375444281E-07
541	8.45357447488004E-08
542	2.41465107746755E-08
543	2.41374497736671E-08
544	7.23854674101672E-08
545	6.03012594769202E-08
546	9.64404844019155E-08
547	1.08452453915098E-07
548	1.08409510406799E-07
549	1.08369079164213E-07
550	7.22126666977383E-08
551	8.42182830176725E-08
552	9.62060498250942E-08
553	1.0819081269508E-07
554	8.41027861075868E-08
555	8.40476128737711E-08
556	1.19982907849976E-07
557	7.19279003679893E-08
558	8.38523779337113E-08
559	9.57750490531887E-08
560	7.18009818500238E-08
561	8.37593663300543E-08
562	8.37647666700514E-08
563	1.07733652272496E-07
564	1.31713528129447E-07
565	1.19760440041853E-07
566	1.07796431229927E-07
567	1.19765955340926E-07
568	1.43703512334565E-07
569	1.07789729755942E-07
570	1.07790474343589E-07
571	8.38299839652461E-08
572	1.07779057898196E-07
573	8.38307560714876E-08
574	2.395070949416E-08
575	7.18492738210522E-08
576	9.57865173101594E-08
577	7.18360399146299E-08
578	4.78884061773995E-08
579	1.07745312000783E-07
580	9.98438646996771E-08
581	3.59066082189084E-08
582	7.18031311445078E-08
583	1.07697688720741E-07
584	1.19629250853172E-07
585	1.07642650542423E-07
586	8.371097168607E-08
587	1.07598541149855E-07
588	9.56223434923112E-08
589	9.55981269151857E-08
590	8.36186945500003E-08
591	8.35909735070409E-08
592	8.35678796581802E-08
593	5.96683987133496E-08
594	9.54292219764519E-08
595	9.53920941710504E-08
596	9.5355639501784E-08
597	8.34000638423372E-08
598	5.95393903070695E-08
599	1.07130068619275E-07
600	8.32831960339024E-08
601	8.32427430993958E-08
602	7.13241136064677E-08
603	5.94127128354504E-08
604	1.18769077457244E-07
605	8.31088710862123E-08
606	8.3074049907912E-08
607	5.93126575110787E-08
608	7.11494231062618E-08
609	1.18539033817007E-07
610	7.10984909608769E-08
611	5.92285885229181E-08
612	7.10549573475758E-08
613	8.28625669820466E-08
614	9.46728351584952E-08
615	7.09892165240117E-08
616	8.27996275206518E-08
617	9.45956973411993E-08
618	8.27468334258169E-08
619	8.27281634331058E-08
620	1.29971874666999E-07
621	9.44988194667113E-08
622	7.08637911662703E-08
623	8.26489581010503E-08
624	8.26405850498195E-08
625	8.26249829904983E-08
626	9.44037797732056E-08
627	8.25903645529338E-08
628	1.1795962495973E-07
629	1.41509430474902E-07
630	1.65072368648366E-07
631	2.00401230148222E-07
632	4.00732331419515E-07
633	2.35670044104042E-07
633.34	2.19264038388367E-07
633.642	4.54933258610112E-07
634.142	6.16888146586198E-07
634.642	8.0204764638915E-07
634.942	1.03042414953512E-06
635.442	1.62432189924479E-06
635.942	2.37645658404356E-06
636.245	3.18112879430166E-06
636.745	5.11946024700771E-06
637.245	8.37001531955014E-06
637.547	1.2098200126918E-05
638.047	2.0290747819075E-05
638.547	3.57584302389801E-05
638.848	5.11386403814943E-05
639.348	9.40478288269966E-05
639.848	0.000176458725194892
640.0085	0.000210045446873678
640.1415	0.000252665157422762
640.3085	0.000314079988397956
640.4745	0.000392192411584813
640.6415	0.000500943275006752
640.808	0.00063604264572945
640.9745	0.000813167142137823
641.141	0.0010405720216643
641.295333333333	0.00134891128499851
641.4455	0.00174093724243171
641.6115	0.00229388776570834
641.7785	0.0030025277802945
641.9445	0.0039603713483238
642.1115	0.00525648970203683
642.2775	0.00707136127485565
642.4445	0.00959823148460758
642.597	0.0121863125706984
642.7465	0.0154101943971685
642.9135	0.0212605179124461
643.0795	0.0296706159961312
643.2465	0.0419767230187525
643.4125	0.0597364306747983
643.5795	0.0854464330855353
643.7455	0.122367961988179
643.905	0.177803343120787
644.0695	0.263459130158134
644.2355	0.365270429704031
644.402	0.487872846308611
644.5685	0.619864843035814
644.735	0.744329255970874
644.9015	0.846189300211708
645.0675	0.916194258225436
645.2345	0.956109230965312
645.4005	0.974780626429126
645.567	0.981907490534536
645.7335	0.983715782074834
645.8995	0.982754528125577
646.0665	0.98192279631306
646.2325	0.982089815573872
646.399	0.982938892363108
646.5655	0.984517202586518
646.7315	0.985789664890013
646.8985	0.987017079057466
647.0645	0.987901581653763
647.2305	0.988029632174541
647.3975	0.98815269404401
647.5635	0.988038089799497
647.7295	0.987157149829238
647.8965	0.985637755524698
648.0625	0.984748379863498
648.229	0.983445811666344
648.3955	0.981708033281861
648.5615	0.981168310755106
648.7275	0.980645076630607
648.8945	0.980889479883777
649.0605	0.980703656589847
649.2265	0.980737220730137
649.3935	0.982067438239085
649.5595	0.98283844196446
649.7255	0.984004563783117
649.8925	0.985147112057463
650.0585	0.985327906968281
650.2245	0.98641830661103
650.391	0.98744574079003
650.5575	0.988065740267868
650.7235	0.988063688527845
650.8895	0.988097109795089
651.056	0.988177628227039
651.2225	0.987956525304859
651.3885	0.987839238594541
651.5545	0.986956868938853
651.721	0.986300397904884
651.8875	0.985503147811483
652.0535	0.9845707069877
652.2195	0.98423701810566
652.386	0.983742783268893
652.5525	0.983840297849547
652.7185	0.983550977772728
652.8845	0.982531576117271
653.0505	0.982358915949714
653.2175	0.982759068258745
653.3835	0.983927864510416
653.5495	0.983948398412755
653.7155	0.98447389202051
653.8815	0.9851546833943
654.0485	0.985697950912033
654.2145	0.986875918023325
654.3805	0.987774022984419
654.5465	0.987962176543259
654.7125	0.988632352606823
654.879	0.989724682874296
655.0455	0.990742919191315
655.2115	0.991255724075885
655.3775	0.992053448783673
655.5435	0.992664589876062
655.7095	0.992576599552899
655.8755	0.99217322265981
656.0425	0.992462342573302
656.2085	0.991996125529354
656.3745	0.991673597416012
656.5405	0.991355502580255
656.7065	0.9906308620425
656.8725	0.989676383196252
657.0385	0.988879401354872
657.2045	0.988679082603907
657.3715	0.988308192299176
657.5375	0.987723793015732
657.7035	0.986882470591874
657.8695	0.986156719556804
658.0355	0.985840648727023
658.2015	0.985106904600744
658.3675	0.985074962035113
658.5335	0.984200324903943
658.6995	0.983942812374108
658.8655	0.984332225808069
659.0315	0.984518911188741
659.1975	0.984104910530284
659.364	0.983835549794858
659.5305	0.983903714315034
659.6965	0.984974388710522
659.8625	0.985552067198118
660.0285	0.986167946246808
660.1945	0.9867247808776
660.3605	0.986877184099665
660.5265	0.987082958509249
660.6925	0.988296384675607
660.8585	0.988713920629167
661.0245	0.989129228228689
661.1905	0.989146265675134
661.3565	0.989589491308115
661.5225	0.990437290274772
661.6885	0.990674628369351
661.8545	0.989971247848331
662.0205	0.990083252806784
662.1865	0.990408701649008
662.3525	0.990190930780086
662.5185	0.990134389433164
662.6845	0.990393710449181
662.8505	0.990094534559614
663.0165	0.989984223816687
663.1825	0.98973846920328
663.3485	0.989434885576873
663.5145	0.988764214686513
663.68	0.987840153538566
663.8455	0.988164610697021
664.0115	0.987376425959344
664.1775	0.98730358757419
664.3435	0.986728956733037
664.5095	0.986109885903925
664.6755	0.986161834214613
664.8415	0.985972712107701
665.0075	0.986031942484851
665.1735	0.985279267006242
665.3395	0.984770160147947
665.5055	0.984664552781538
665.6715	0.984505205503668
665.8365	0.98452570769828
666.0025	0.984200287466898
666.1685	0.984139060188922
666.3345	0.984048086034901
666.5005	0.984483867371469
666.6665	0.984632552942189
666.8325	0.985112089456303
666.9985	0.985089701964119
667.1635	0.9851775039234
667.3295	0.985764428965345
667.4955	0.986363552696739
667.6615	0.986389042460434
667.8275	0.9863574336687
667.9935	0.986516267952076
668.159	0.987295566378373
668.3245	0.987953025914819
668.4905	0.988252738060141
668.6565	0.987655434548809
668.8225	0.988447208436452
668.9885	0.988703582597116
669.1535	0.989109560209691
669.3195	0.989211161794693
669.4855	0.989025156658482
669.6515	0.989243724526054
669.8175	0.989210550113629
669.9825	0.989009107901945
670.1485	0.98935202608609
670.3145	0.989399964414206
670.4805	0.989242861723128
670.646	0.989473460622823
670.8115	0.989753357297953
670.9775	0.989640142549356
671.1435	0.989396257683551
671.3095	0.98827600159686
671.4745	0.988499450808045
671.6405	0.988880816864492
671.8065	0.98898804680385
671.972	0.988683942579198
672.1375	0.988392292460039
672.3035	0.987711007569678
672.4695	0.987751730237648
672.635	0.988127906780341
672.8005	0.987814100761813
672.9625	0.988115130899426
