Typical Measured Spectrum of Semrock BSP01-633R Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
340.0	0.66398
340.2	0.67713
340.4	0.66578
340.6	0.70337
340.8	0.76738
341.0	0.821
341.2	0.86608
341.4	0.8982
341.6	0.906
341.8	0.89534
342.0	0.89173
342.2	0.90047
342.4	0.91227
342.6	0.91954
342.8	0.92293
343.0	0.9198
343.2	0.91792
343.4	0.91878
343.6	0.92496
343.8	0.9268
344.0	0.91566
344.2	0.9052
344.4	0.90481
344.6	0.91787
344.8	0.92778
345.0	0.92334
345.2	0.91187
345.4	0.91434
345.6	0.92117
345.8	0.9309
346.0	0.93339
346.2	0.93426
346.4	0.93487
346.6	0.93532
346.8	0.93586
347.0	0.93334
347.2	0.93862
347.4	0.9368
347.6	0.9335
347.8	0.92825
348.0	0.92555
348.2	0.92874
348.4	0.93555
348.6	0.93702
348.8	0.94074
349.0	0.93696
349.2	0.93722
349.4	0.93269
349.6	0.93172
349.8	0.93082
350.0	0.93099
350.2	0.93517
350.4	0.93511
350.6	0.93254
350.8	0.93639
351.0	0.93956
351.2	0.94397
351.4	0.94997
351.6	0.95115
351.8	0.95073
352.0	0.94817
352.2	0.94084
352.4	0.93701
352.6	0.93615
352.8	0.94081
353.0	0.94708
353.2	0.94919
353.4	0.94577
353.6	0.94542
353.8	0.94674
354.0	0.95057
354.2	0.94716
354.4	0.94468
354.6	0.94636
354.8	0.95281
355.0	0.95467
355.2	0.95096
355.4	0.94409
355.6	0.94165
355.8	0.94779
356.0	0.9562
356.2	0.95283
356.4	0.94632
356.6	0.93888
356.8	0.94051
357.0	0.94773
357.2	0.95374
357.4	0.95173
357.6	0.94929
357.8	0.94652
358.0	0.94748
358.2	0.94612
358.4	0.94223
358.6	0.93804
358.8	0.94213
359.0	0.95328
359.2	0.95938
359.4	0.96028
359.6	0.95455
359.8	0.95266
360.0	0.95711
360.2	0.95306
360.4	0.93746
360.6	0.91244
360.8	0.8941
361.0	0.89126
361.2	0.90747
361.4	0.92835
361.6	0.93355
361.8	0.9188
362.0	0.89401
362.2	0.87613
362.4	0.87611
362.6	0.88368
362.8	0.89428
363.0	0.89914
363.2	0.89524
363.4	0.89926
363.6	0.90933
363.8	0.91892
364.0	0.93218
364.2	0.93086
364.4	0.92684
364.6	0.92389
364.8	0.91912
365.0	0.92799
365.2	0.94402
365.4	0.95842
365.6	0.96869
365.8	0.9744
366.0	0.97347
366.2	0.97442
366.4	0.9749
366.6	0.97314
366.8	0.97349
367.0	0.97353
367.2	0.97276
367.4	0.97402
367.6	0.97025
367.8	0.96586
368.0	0.96508
368.2	0.96569
368.4	0.96869
368.6	0.97548
368.8	0.9736
369.0	0.96851
369.2	0.96195
369.4	0.9589
369.6	0.9587
369.8	0.96694
370.0	0.97286
370.2	0.977
370.4	0.97787
370.6	0.97578
370.8	0.97639
371.0	0.97737
371.2	0.97416
371.4	0.97431
371.6	0.97252
371.8	0.96812
372.0	0.9615
372.2	0.95101
372.4	0.93752
372.6	0.9298
372.8	0.93041
373.0	0.93718
373.2	0.94879
373.4	0.96107
373.6	0.96805
373.8	0.97149
374.0	0.97172
374.2	0.97195
374.4	0.96448
374.6	0.95205
374.8	0.93736
375.0	0.93076
375.2	0.93321
375.4	0.94805
375.6	0.96347
375.8	0.97597
376.0	0.97572
376.2	0.97068
376.4	0.96611
376.6	0.96633
376.8	0.97247
377.0	0.97761
377.2	0.97781
377.4	0.97474
377.6	0.97314
377.8	0.97129
378.0	0.97564
378.2	0.98003
378.4	0.97995
378.6	0.97914
378.8	0.97503
379.0	0.97143
379.2	0.9712
379.4	0.97124
379.6	0.968
379.8	0.96595
380.0	0.96521
380.2	0.96809
380.4	0.97395
380.6	0.97742
380.8	0.97747
381.0	0.97667
381.2	0.97826
381.4	0.98158
381.6	0.9831
381.8	0.98241
382.0	0.97589
382.2	0.96431
382.4	0.95604
382.6	0.95204
382.8	0.95759
383.0	0.96496
383.2	0.97492
383.4	0.98047
383.6	0.98106
383.8	0.9814
384.0	0.98414
384.2	0.98223
384.4	0.98043
384.6	0.97196
384.8	0.96383
385.0	0.95981
385.2	0.96256
385.4	0.96798
385.6	0.97149
385.8	0.97147
386.0	0.9651
386.2	0.95722
386.4	0.94844
386.6	0.94737
386.8	0.95095
387.0	0.95693
387.2	0.96651
387.4	0.97388
387.6	0.98015
387.8	0.98384
388.0	0.98517
388.2	0.98349
388.4	0.98178
388.6	0.97852
388.8	0.98095
389.0	0.98165
389.2	0.98491
389.4	0.98585
389.6	0.98067
389.8	0.97266
390.0	0.96291
390.2	0.95807
390.4	0.95604
390.6	0.9623
390.8	0.96984
391.0	0.97758
391.2	0.9837
391.4	0.98693
391.6	0.98836
391.8	0.98622
392.0	0.98135
392.2	0.97702
392.4	0.97364
392.6	0.97018
392.8	0.97147
393.0	0.97363
393.2	0.98165
393.4	0.98552
393.6	0.98525
393.8	0.98529
394.0	0.98321
394.2	0.98385
394.4	0.98406
394.6	0.98514
394.8	0.98423
395.0	0.98198
395.2	0.98058
395.4	0.97813
395.6	0.97939
395.8	0.98395
396.0	0.98621
396.2	0.98302
396.4	0.97501
396.6	0.9622
396.8	0.95093
397.0	0.94757
397.2	0.94953
397.4	0.95777
397.6	0.96888
397.8	0.97646
398.0	0.9792
398.2	0.98125
398.4	0.98011
398.6	0.97829
398.8	0.97919
399.0	0.98285
399.2	0.9872
399.4	0.98956
399.6	0.99094
399.8	0.98692
400.0	0.98075
400.2	0.97269
400.4	0.96484
400.6	0.95887
400.8	0.95844
401.0	0.96329
401.2	0.97138
401.4	0.97759
401.6	0.98092
401.8	0.9776
402.0	0.97261
402.2	0.96823
402.4	0.96585
402.6	0.96785
402.8	0.97483
403.0	0.98487
403.2	0.99142
403.4	0.99285
403.6	0.99198
403.8	0.98861
404.0	0.98696
404.2	0.98808
404.4	0.98952
404.6	0.99109
404.8	0.99032
405.0	0.98534
405.2	0.97759
405.4	0.96786
405.6	0.96407
405.8	0.96431
406.0	0.96604
406.2	0.97092
406.4	0.97505
406.6	0.97906
406.8	0.9794
407.0	0.97855
407.2	0.97755
407.4	0.97839
407.6	0.98108
407.8	0.98707
408.0	0.99136
408.2	0.99402
408.4	0.99194
408.6	0.98677
408.8	0.98124
409.0	0.97764
409.2	0.978
409.4	0.98
409.6	0.98549
409.8	0.98817
410.0	0.98666
410.2	0.98147
410.4	0.97138
410.6	0.96284
410.8	0.95883
411.0	0.96169
411.2	0.96882
411.4	0.97721
411.6	0.98386
411.8	0.9867
412.0	0.98603
412.2	0.98321
412.4	0.98153
412.6	0.98368
412.8	0.98785
413.0	0.99112
413.2	0.99376
413.4	0.99045
413.6	0.98512
413.8	0.97755
414.0	0.97454
414.2	0.97464
414.4	0.97679
414.6	0.97956
414.8	0.97915
415.0	0.97458
415.2	0.96618
415.4	0.9619
415.6	0.96015
415.8	0.9637
416.0	0.97142
416.2	0.98046
416.4	0.98861
416.6	0.99201
416.8	0.99444
417.0	0.99175
417.2	0.99219
417.4	0.99214
417.6	0.99536
417.8	0.99593
418.0	0.99399
418.2	0.98837
418.4	0.98264
418.6	0.97807
418.8	0.97731
419.0	0.97995
419.2	0.98586
419.4	0.99162
419.6	0.99589
419.8	0.99611
420.0	0.99213
420.2	0.98724
420.4	0.98405
420.6	0.982
420.8	0.9837
421.0	0.98579
421.2	0.98635
421.4	0.98605
421.6	0.98611
421.8	0.98423
422.0	0.98464
422.2	0.98505
422.4	0.98528
422.6	0.98494
422.8	0.98166
423.0	0.97643
423.2	0.97283
423.4	0.97002
423.6	0.97121
423.8	0.97508
424.0	0.98203
424.2	0.98805
424.4	0.99274
424.6	0.99293
424.8	0.99262
425.0	0.98838
425.2	0.98706
425.4	0.98619
425.6	0.98691
425.8	0.98972
426.0	0.98987
426.2	0.99215
426.4	0.99201
426.6	0.99339
426.8	0.99471
427.0	0.99611
427.2	0.99722
427.4	0.99613
427.6	0.99331
427.8	0.98858
428.0	0.98465
428.2	0.98145
428.4	0.97977
428.6	0.98008
428.8	0.98056
429.0	0.98108
429.2	0.97894
429.4	0.97433
429.6	0.96887
429.8	0.96326
430.0	0.95943
430.2	0.95824
430.4	0.96193
430.6	0.96606
430.8	0.97318
431.0	0.97773
431.2	0.98164
431.4	0.98553
431.6	0.98734
431.8	0.99129
432.0	0.99457
432.2	0.99598
432.4	0.99632
432.6	0.99301
432.8	0.98739
433.0	0.98171
433.2	0.97671
433.4	0.9748
433.6	0.97699
433.8	0.9824
434.0	0.9891
434.2	0.99445
434.4	0.99675
434.6	0.99599
434.8	0.99113
435.0	0.98541
435.2	0.98193
435.4	0.97861
435.6	0.97923
435.8	0.98069
436.0	0.98345
436.2	0.98698
436.4	0.98835
436.6	0.99073
436.8	0.99299
437.0	0.99519
437.2	0.99726
437.4	0.99757
437.6	0.99613
437.8	0.99042
438.0	0.98392
438.2	0.97688
438.4	0.97229
438.6	0.9699
438.8	0.97223
439.0	0.97753
439.2	0.98379
439.4	0.99045
439.6	0.99519
439.8	0.99758
440.0	0.99579
440.2	0.99168
440.4	0.98654
440.6	0.98269
440.8	0.97922
441.0	0.97677
441.2	0.97476
441.4	0.97446
441.6	0.97493
441.8	0.97728
442.0	0.98141
442.2	0.98523
442.4	0.99102
442.6	0.99536
442.8	0.99835
443.0	0.99752
443.2	0.99331
443.4	0.98797
443.6	0.98032
443.8	0.97561
444.0	0.97341
444.2	0.97375
444.4	0.97743
444.6	0.98254
444.8	0.98941
445.0	0.99459
445.2	0.99871
445.4	0.99951
445.6	0.99787
445.8	0.99583
446.0	0.99236
446.2	0.98928
446.4	0.98734
446.6	0.98602
446.8	0.98408
447.0	0.98403
447.2	0.98586
447.4	0.98821
447.6	0.99151
447.8	0.99436
448.0	0.99739
448.2	0.99891
448.4	0.99694
448.6	0.99381
448.8	0.98946
449.0	0.98399
449.2	0.97862
449.4	0.97462
449.6	0.97448
449.8	0.97596
450.0	0.97886
450.2	0.98344
450.4	0.98822
450.6	0.99258
450.8	0.99457
451.0	0.99693
451.2	0.9979
451.4	0.99779
451.6	0.99745
451.8	0.99488
452.0	0.99381
452.2	0.99143
452.4	0.98901
452.6	0.98726
452.8	0.98716
453.0	0.98793
453.2	0.99001
453.4	0.99307
453.6	0.99546
453.8	0.99816
454.0	0.99819
454.2	0.99632
454.4	0.99254
454.6	0.9867
454.8	0.98081
455.0	0.9762
455.2	0.97252
455.4	0.97198
455.6	0.97318
455.8	0.97576
456.0	0.97838
456.2	0.98285
456.4	0.98594
456.6	0.98803
456.8	0.98892
457.0	0.98859
457.2	0.987
457.4	0.98514
457.6	0.98337
457.8	0.97992
458.0	0.97856
458.2	0.97721
458.4	0.97789
458.6	0.98021
458.8	0.9836
459.0	0.98701
459.2	0.99074
459.4	0.99474
459.6	0.99682
459.8	0.99814
460.0	0.99787
460.2	0.99543
460.4	0.99206
460.6	0.98816
460.8	0.98449
461.0	0.98054
461.2	0.97797
461.4	0.97569
461.6	0.9749
461.8	0.97511
462.0	0.9772
462.2	0.97997
462.4	0.98439
462.6	0.9888
462.8	0.99201
463.0	0.99498
463.2	0.99515
463.4	0.9944
463.6	0.99134
463.8	0.98826
464.0	0.98561
464.2	0.98397
464.4	0.98359
464.6	0.98472
464.8	0.9876
465.0	0.99032
465.2	0.9924
465.4	0.99346
465.6	0.99282
465.8	0.9922
466.0	0.98964
466.2	0.98904
466.4	0.98806
466.6	0.98861
466.8	0.98996
467.0	0.99188
467.2	0.99292
467.4	0.99427
467.6	0.9944
467.8	0.9941
468.0	0.99249
468.2	0.99037
468.4	0.99042
468.6	0.99124
468.8	0.99181
469.0	0.99164
469.2	0.9902
469.4	0.98668
469.6	0.98248
469.8	0.97656
470.0	0.97011
470.2	0.96579
470.4	0.96226
470.6	0.96135
470.8	0.96254
471.0	0.9665
471.2	0.97191
471.4	0.97676
471.6	0.98176
471.8	0.98392
472.0	0.98625
472.2	0.98616
472.4	0.98586
472.6	0.98658
472.8	0.98712
473.0	0.98844
473.2	0.9904
473.4	0.99227
473.6	0.99288
473.8	0.99412
474.0	0.99412
474.2	0.99403
474.4	0.99329
474.6	0.99306
474.8	0.99354
475.0	0.99397
475.2	0.99537
475.4	0.99517
475.6	0.99441
475.8	0.99208
476.0	0.98919
476.2	0.98525
476.4	0.98167
476.6	0.9794
476.8	0.97869
477.0	0.98028
477.2	0.98263
477.4	0.98574
477.6	0.99013
477.8	0.99264
478.0	0.99434
478.2	0.99516
478.4	0.99481
478.6	0.99436
478.8	0.99211
479.0	0.99154
479.2	0.99118
479.4	0.99103
479.6	0.98991
479.8	0.98893
480.0	0.98725
480.2	0.98481
480.4	0.98226
480.6	0.9806
480.8	0.97986
481.0	0.97968
481.2	0.98071
481.4	0.98394
481.6	0.98686
481.8	0.99075
482.0	0.99308
482.2	0.99513
482.4	0.9957
482.6	0.99471
482.8	0.99356
483.0	0.99213
483.2	0.99181
483.4	0.99109
483.6	0.99174
483.8	0.99215
484.0	0.99259
484.2	0.99166
484.4	0.99173
484.6	0.99041
484.8	0.98846
485.0	0.98729
485.2	0.98674
485.4	0.98593
485.6	0.98493
485.8	0.98568
486.0	0.98511
486.2	0.98361
486.4	0.9825
486.6	0.98055
486.8	0.97872
487.0	0.97636
487.2	0.97519
487.4	0.97514
487.6	0.97642
487.8	0.97956
488.0	0.98294
488.2	0.98734
488.4	0.99193
488.6	0.9947
488.8	0.99599
489.0	0.99566
489.2	0.99409
489.4	0.99242
489.6	0.98875
489.8	0.98584
490.0	0.98285
490.2	0.98046
490.4	0.97783
490.6	0.97451
490.8	0.97091
491.0	0.96749
491.2	0.965
491.4	0.9614
491.6	0.96007
491.8	0.95961
492.0	0.96139
492.2	0.96453
492.4	0.96891
492.6	0.97329
492.8	0.97818
493.0	0.98318
493.2	0.98656
493.4	0.98766
493.6	0.98893
493.8	0.98949
494.0	0.98936
494.2	0.98911
494.4	0.99062
494.6	0.99138
494.8	0.99322
495.0	0.9953
495.2	0.9966
495.4	0.99577
495.6	0.99527
495.8	0.99368
496.0	0.99137
496.2	0.98928
496.4	0.98633
496.6	0.98289
496.8	0.98106
497.0	0.97814
497.2	0.97543
497.4	0.97186
497.6	0.96809
497.8	0.96316
498.0	0.95905
498.2	0.95552
498.4	0.9533
498.6	0.95247
498.8	0.95389
499.0	0.95707
499.2	0.96224
499.4	0.96832
499.6	0.97498
499.8	0.98093
500.0	0.98735
500.2	0.99195
500.4	0.99369
500.6	0.99423
500.8	0.99442
501.0	0.99423
501.2	0.99464
501.4	0.99585
501.6	0.9965
501.8	0.99689
502.0	0.99868
502.2	0.99929
502.4	0.99984
502.6	0.99975
502.8	0.99821
503.0	0.99741
503.2	0.99627
503.4	0.99575
503.6	0.99463
503.8	0.99408
504.0	0.99259
