Typical Measured Spectrum of Semrock FF01-575/59 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)

290.0	4.5065e-06
290.2	3.5925e-06
290.4	2.8639e-06
290.6	2.283e-06
290.8	1.8199e-06
291.0	1.4508e-06
291.2	1.1566e-06
291.4	9.2198e-07
291.6	7.3498e-07
291.8	5.8591e-07
292.0	4.6707e-07
292.2	3.7234e-07
292.4	2.9682e-07
292.6	2.7208e-07
292.8	3.604e-07
293.0	4.774e-07
293.2	6.3237e-07
293.4	8.3765e-07
293.6	1.1096e-06
293.8	1.4698e-06
294.0	1.9469e-06
294.2	2.5789e-06
294.4	3.4161e-06
294.6	4.5251e-06
294.8	5.994e-06
295.0	7.9398e-06
295.2	8.0411e-06
295.4	8.1437e-06
295.6	8.2476e-06
295.8	8.158e-06
296.0	7.9583e-06
296.2	7.7635e-06
296.4	7.5734e-06
296.6	7.388e-06
296.8	7.2071e-06
297.0	7.0307e-06
297.2	6.8586e-06
297.4	6.6906e-06
297.6	6.5268e-06
297.8	6.3671e-06
298.0	6.2112e-06
298.2	6.0591e-06
298.4	5.9108e-06
298.6	5.7661e-06
298.8	5.6249e-06
299.0	5.4872e-06
299.2	5.3529e-06
299.4	5.2218e-06
299.6	5.094e-06
299.8	4.9693e-06
300.0	4.8476e-06
300.2	4.7289e-06
300.4	4.6531e-06
300.6	4.6786e-06
300.8	4.7042e-06
301.0	4.7299e-06
301.2	4.7558e-06
301.4	4.7819e-06
301.6	4.808e-06
301.8	4.8344e-06
302.0	4.8608e-06
302.2	4.8875e-06
302.4	4.9142e-06
302.6	4.9411e-06
302.8	4.9682e-06
303.0	4.9954e-06
303.2	5.0227e-06
303.4	5.0502e-06
303.6	5.0779e-06
303.8	5.1057e-06
304.0	5.1336e-06
304.2	5.1617e-06
304.4	5.19e-06
304.6	5.2184e-06
304.8	5.247e-06
305.0	5.2757e-06
305.2	5.4717e-06
305.4	5.675e-06
305.6	5.8859e-06
305.8	6.1045e-06
306.0	6.3313e-06
306.2	6.5666e-06
306.4	6.8105e-06
306.6	7.0636e-06
306.8	7.326e-06
307.0	7.5111e-06
307.2	7.3315e-06
307.4	7.1562e-06
307.6	6.985e-06
307.8	6.818e-06
308.0	6.6549e-06
308.2	6.4958e-06
308.4	6.3404e-06
308.6	6.1888e-06
308.8	6.0408e-06
309.0	5.8963e-06
309.2	5.7553e-06
309.4	5.6177e-06
309.6	5.4834e-06
309.8	5.3522e-06
310.0	5.2242e-06
310.2	5.0993e-06
310.4	4.9773e-06
310.6	4.8583e-06
310.8	4.7421e-06
311.0	4.6287e-06
311.2	4.518e-06
311.4	4.41e-06
311.6	4.3045e-06
311.8	3.9829e-06
312.0	3.6466e-06
312.2	3.3387e-06
312.4	3.0568e-06
312.6	2.7987e-06
312.8	2.5624e-06
313.0	2.3461e-06
313.2	2.148e-06
313.4	1.9666e-06
313.6	1.8006e-06
313.8	1.6485e-06
314.0	1.5093e-06
314.2	1.3819e-06
314.4	1.2652e-06
314.6	1.1584e-06
314.8	1.0606e-06
315.0	9.7103e-07
315.2	8.8904e-07
315.4	8.1397e-07
315.6	7.4525e-07
315.8	6.8232e-07
316.0	6.2471e-07
316.2	5.7196e-07
316.4	5.5781e-07
316.6	5.8023e-07
316.8	6.0354e-07
317.0	6.2779e-07
317.2	6.5301e-07
317.4	6.7925e-07
317.6	7.0654e-07
317.8	7.3492e-07
318.0	7.6445e-07
318.2	7.9516e-07
318.4	8.2711e-07
318.6	8.6034e-07
318.8	8.9491e-07
319.0	9.3086e-07
319.2	9.6826e-07
319.4	1.0072e-06
319.6	1.0476e-06
319.8	1.0897e-06
320.0	1.1335e-06
320.2	1.179e-06
320.4	1.2264e-06
320.6	1.2757e-06
320.8	1.3269e-06
321.0	1.3687e-06
321.2	1.353e-06
321.4	1.3374e-06
321.6	1.322e-06
321.8	1.3068e-06
322.0	1.2918e-06
322.2	1.2769e-06
322.4	1.2623e-06
322.6	1.2477e-06
322.8	1.2334e-06
323.0	1.2192e-06
323.2	1.2052e-06
323.4	1.1913e-06
323.6	1.1776e-06
323.8	1.1641e-06
324.0	1.1507e-06
324.2	1.1375e-06
324.4	1.1244e-06
324.6	1.1115e-06
324.8	1.0987e-06
325.0	1.0861e-06
325.2	1.0736e-06
325.4	1.0612e-06
325.6	1.049e-06
325.8	1.0023e-06
326.0	9.5181e-07
326.2	9.0382e-07
326.4	8.5826e-07
326.6	8.1499e-07
326.8	7.739e-07
327.0	7.3488e-07
327.2	6.9783e-07
327.4	6.6265e-07
327.6	6.2924e-07
327.8	5.9751e-07
328.0	5.6739e-07
328.2	5.3878e-07
328.4	5.1162e-07
328.6	4.8582e-07
328.8	4.6133e-07
329.0	4.3807e-07
329.2	4.1599e-07
329.4	3.9501e-07
329.6	3.751e-07
329.8	3.5619e-07
330.0	3.3823e-07
330.2	3.2118e-07
330.4	3.2554e-07
330.6	3.4881e-07
330.8	3.7374e-07
331.0	4.0046e-07
331.2	4.2908e-07
331.4	4.5975e-07
331.6	4.9262e-07
331.8	5.2783e-07
332.0	5.6556e-07
332.2	6.0599e-07
332.4	6.4931e-07
332.6	6.9573e-07
332.8	7.4546e-07
333.0	7.9875e-07
333.2	8.5584e-07
333.4	9.1702e-07
333.6	9.8257e-07
333.8	1.0528e-06
334.0	1.1281e-06
334.2	1.2087e-06
334.4	1.2951e-06
334.6	1.3877e-06
334.8	1.4869e-06
335.0	1.587e-06
335.2	1.6485e-06
335.4	1.7124e-06
335.6	1.7788e-06
335.8	1.8477e-06
336.0	1.9194e-06
336.2	1.9938e-06
336.4	2.0711e-06
336.6	2.1513e-06
336.8	2.2347e-06
337.0	2.3015e-06
337.2	2.3086e-06
337.4	2.3156e-06
337.6	2.3227e-06
337.8	2.3297e-06
338.0	2.3368e-06
338.2	2.344e-06
338.4	2.3511e-06
338.6	2.3583e-06
338.8	2.3655e-06
339.0	2.3727e-06
339.2	2.3799e-06
339.4	2.3872e-06
339.6	2.3944e-06
339.8	2.4017e-06
340.0	2.4091e-06
340.2	2.4164e-06
340.4	2.4238e-06
340.6	2.4312e-06
340.8	2.4386e-06
341.0	2.446e-06
341.2	2.4535e-06
341.4	2.461e-06
341.6	2.4685e-06
341.8	2.441e-06
342.0	2.4114e-06
342.2	2.3822e-06
342.4	2.3533e-06
342.6	2.3248e-06
342.8	2.2966e-06
343.0	2.2688e-06
343.2	2.2413e-06
343.4	2.2142e-06
343.6	2.1873e-06
343.8	2.1608e-06
344.0	2.1347e-06
344.2	2.1088e-06
344.4	2.0832e-06
344.6	2.058e-06
344.8	2.0331e-06
345.0	2.0084e-06
345.2	1.9841e-06
345.4	1.9601e-06
345.6	1.9363e-06
345.8	1.9128e-06
346.0	1.8897e-06
346.2	1.8668e-06
346.4	1.8227e-06
346.6	1.7678e-06
346.8	1.7146e-06
347.0	1.6629e-06
347.2	1.6128e-06
347.4	1.5642e-06
347.6	1.5171e-06
347.8	1.4714e-06
348.0	1.4271e-06
348.2	1.3841e-06
348.4	1.3424e-06
348.6	1.3019e-06
348.8	1.2627e-06
349.0	1.2247e-06
349.2	1.1878e-06
349.4	1.152e-06
349.6	1.1173e-06
349.8	1.0836e-06
350.0	1.051e-06
350.2	1.0193e-06
350.4	9.8863e-07
350.6	9.5884e-07
350.8	9.2996e-07
351.0	9.1064e-07
351.2	9.0811e-07
351.4	9.0558e-07
351.6	9.0307e-07
351.8	9.0056e-07
352.0	8.9806e-07
352.2	8.9556e-07
352.4	8.9307e-07
352.6	8.9059e-07
352.8	8.8812e-07
353.0	8.8565e-07
353.2	8.8319e-07
353.4	8.8074e-07
353.6	8.7829e-07
353.8	8.7585e-07
354.0	8.7342e-07
354.2	8.7099e-07
354.4	8.6857e-07
354.6	8.6616e-07
354.8	8.6375e-07
355.0	8.6135e-07
355.2	8.5896e-07
355.4	8.5657e-07
355.6	8.5555e-07
355.8	8.7138e-07
356.0	8.875e-07
356.2	9.0392e-07
356.4	9.2064e-07
356.6	9.3768e-07
356.8	9.5503e-07
357.0	9.727e-07
357.2	9.907e-07
357.4	1.009e-06
357.6	1.0277e-06
357.8	1.0467e-06
358.0	1.0661e-06
358.2	1.0858e-06
358.4	1.1059e-06
358.6	1.1264e-06
358.8	1.1472e-06
359.0	1.1684e-06
359.2	1.19e-06
359.4	1.2121e-06
359.6	1.2345e-06
359.8	1.2573e-06
360.0	1.2806e-06
360.2	1.3043e-06
360.4	1.2642e-06
360.6	1.2112e-06
360.8	1.1605e-06
361.0	1.1118e-06
361.2	1.0652e-06
361.4	1.0205e-06
361.6	9.7777e-07
361.8	9.3678e-07
362.0	8.9751e-07
362.2	8.5989e-07
362.4	8.2384e-07
362.6	7.8931e-07
362.8	7.5622e-07
363.0	7.2452e-07
363.2	6.9415e-07
363.4	6.6505e-07
363.6	6.3717e-07
363.8	6.1046e-07
364.0	5.8487e-07
364.2	5.6036e-07
364.4	5.3687e-07
364.6	5.1436e-07
364.8	4.928e-07
365.0	4.6868e-07
365.2	4.3739e-07
365.4	4.0818e-07
365.6	3.8092e-07
365.8	3.5549e-07
366.0	3.3006e-07
366.2	2.9003e-07
366.4	2.5485e-07
366.6	2.2394e-07
366.8	1.9678e-07
367.0	1.7291e-07
367.2	1.5194e-07
367.4	1.3351e-07
367.6	1.1731e-07
367.8	1.0309e-07
368.0	1.0e-07
368.2	1.0e-07
368.4	1.0e-07
368.6	1.0e-07
368.8	1.0e-07
369.0	1.0e-07
369.2	1.0e-07
369.4	1.0e-07
369.6	1.0e-07
369.8	1.0e-07
370.0	1.0e-07
370.2	1.0e-07
370.4	1.0e-07
370.6	1.0e-07
370.8	1.0e-07
371.0	1.0e-07
371.2	1.0e-07
371.4	1.0e-07
371.6	1.0349e-07
371.8	1.334e-07
372.0	1.7195e-07
372.2	2.2165e-07
372.4	2.8571e-07
372.6	3.6828e-07
372.8	4.7472e-07
373.0	6.1192e-07
373.2	7.8877e-07
373.4	1.0167e-06
373.6	8.6417e-07
373.8	6.7032e-07
374.0	5.1995e-07
374.2	4.0331e-07
374.4	3.1284e-07
374.6	2.4267e-07
374.8	1.8823e-07
375.0	1.4601e-07
375.2	1.1325e-07
375.4	1.0724e-07
375.6	1.2299e-07
375.8	1.4106e-07
376.0	1.6179e-07
376.2	1.8555e-07
376.4	2.1281e-07
376.6	2.4407e-07
376.8	2.7993e-07
377.0	3.2105e-07
377.2	3.4856e-07
377.4	3.039e-07
377.6	2.6495e-07
377.8	2.31e-07
378.0	2.0139e-07
378.2	1.7559e-07
378.4	1.5308e-07
378.6	1.3347e-07
378.8	1.1636e-07
379.0	1.0145e-07
379.2	1.2117e-07
379.4	1.5016e-07
379.6	1.8608e-07
379.8	2.3061e-07
380.0	2.8578e-07
380.2	3.5416e-07
380.4	4.389e-07
380.6	5.4391e-07
380.8	6.7404e-07
381.0	7.4503e-07
381.2	7.6057e-07
381.4	7.7644e-07
381.6	7.9264e-07
381.8	8.0918e-07
382.0	8.2606e-07
382.2	8.4329e-07
382.4	8.6088e-07
382.6	8.7884e-07
382.8	8.3406e-07
383.0	6.592e-07
383.2	5.2099e-07
383.4	4.1176e-07
383.6	3.2543e-07
383.8	2.572e-07
384.0	2.0328e-07
384.2	1.6066e-07
384.4	1.2697e-07
384.6	1.0035e-07
384.8	1.0e-07
385.0	1.0e-07
385.2	1.0e-07
385.4	1.0e-07
385.6	1.0e-07
385.8	1.0e-07
386.0	1.0e-07
386.2	1.0e-07
386.4	1.0e-07
386.6	1.0932e-07
386.8	1.245e-07
387.0	1.4179e-07
387.2	1.6148e-07
387.4	1.8391e-07
387.6	2.0945e-07
387.8	2.3854e-07
388.0	2.7167e-07
388.2	3.094e-07
388.4	3.4144e-07
388.6	3.5869e-07
388.8	3.768e-07
389.0	3.9584e-07
389.2	4.1583e-07
389.4	4.3683e-07
389.6	4.5889e-07
389.8	4.8207e-07
390.0	5.0642e-07
390.2	5.2097e-07
390.4	4.3368e-07
390.6	3.6101e-07
390.8	3.0052e-07
391.0	2.5017e-07
391.2	2.0825e-07
391.4	1.7336e-07
391.6	1.4431e-07
391.8	1.2013e-07
392.0	1.0e-07
392.2	1.0e-07
392.4	1.0e-07
392.6	1.0e-07
392.8	1.0e-07
393.0	1.0e-07
393.2	1.0e-07
393.4	1.0e-07
393.6	1.0e-07
393.8	1.0e-07
394.0	1.0e-07
394.2	1.0e-07
394.4	1.0e-07
394.6	1.0e-07
394.8	1.0e-07
395.0	1.0e-07
395.2	1.0e-07
395.4	1.0e-07
395.6	1.0e-07
395.8	1.0e-07
396.0	1.0e-07
396.2	1.0e-07
396.4	1.0e-07
396.6	1.0e-07
396.8	1.0e-07
397.0	1.0e-07
397.2	1.0e-07
397.4	1.0e-07
397.6	1.0e-07
397.8	1.0e-07
398.0	1.0e-07
398.2	1.0e-07
398.4	1.0e-07
398.6	1.0e-07
398.8	1.0e-07
399.0	1.0e-07
399.2	1.0e-07
399.4	1.0e-07
399.6	1.0e-07
399.8	1.0e-07
400.0	1.0e-07
400.2	1.0e-07
400.4	1.025e-07
400.6	1.0695e-07
400.8	1.1159e-07
401.0	1.1644e-07
401.2	1.2149e-07
401.4	1.2677e-07
401.6	1.3227e-07
401.8	1.3802e-07
402.0	1.4401e-07
402.2	1.5026e-07
402.4	1.5679e-07
402.6	1.636e-07
402.8	1.707e-07
403.0	1.7812e-07
403.2	1.8585e-07
403.4	1.9392e-07
403.6	2.0234e-07
403.8	2.1113e-07
404.0	2.202e-07
404.2	2.1103e-07
404.4	2.0224e-07
404.6	1.9382e-07
404.8	1.8575e-07
405.0	1.7801e-07
405.2	1.7059e-07
405.4	1.6349e-07
405.6	1.5668e-07
405.8	1.5015e-07
406.0	1.439e-07
406.2	1.3791e-07
406.4	1.3216e-07
406.6	1.2666e-07
406.8	1.2138e-07
407.0	1.1633e-07
407.2	1.1148e-07
407.4	1.0684e-07
407.6	1.0239e-07
407.8	1.0e-07
408.0	1.0e-07
408.2	1.0e-07
408.4	1.0e-07
408.6	1.0e-07
408.8	1.0e-07
409.0	1.0e-07
409.2	1.0e-07
409.4	1.0e-07
409.6	1.0e-07
409.8	1.0e-07
410.0	1.0e-07
410.2	1.0e-07
410.4	1.0e-07
410.6	1.0e-07
410.8	1.0e-07
411.0	1.0e-07
411.2	1.0e-07
411.4	1.0e-07
411.6	1.0e-07
411.8	1.0e-07
412.0	1.0e-07
412.2	1.0e-07
412.4	1.0e-07
412.6	1.0e-07
412.8	1.0e-07
413.0	1.0e-07
413.2	1.0e-07
413.4	1.0e-07
413.6	1.0e-07
413.8	1.0e-07
414.0	1.0e-07
414.2	1.0e-07
414.4	1.0e-07
414.6	1.0e-07
414.8	1.0e-07
415.0	1.0e-07
415.2	1.0e-07
415.4	1.0e-07
