Typical Measured Spectrum of Semrock FF01-612/SP Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
499.0	0.95134
499.2	0.95435
499.4	0.95671
499.6	0.95909
499.8	0.96106
500.0	0.96295
500.2	0.96553
500.4	0.96768
500.6	0.97001
500.8	0.97118
501.0	0.973
501.2	0.97437
501.4	0.97563
501.6	0.97748
501.8	0.97823
502.0	0.97937
502.2	0.98045
502.4	0.9818
502.6	0.9822
502.8	0.98326
503.0	0.98385
503.2	0.98388
503.4	0.98503
503.6	0.98514
503.8	0.98554
504.0	0.9859
504.2	0.98609
504.4	0.986
504.6	0.98629
504.8	0.98631
505.0	0.9866
505.2	0.98587
505.4	0.98636
505.6	0.98589
505.8	0.98635
506.0	0.98557
506.2	0.98597
506.4	0.98531
506.6	0.98497
506.8	0.98499
507.0	0.98409
507.2	0.98407
507.4	0.98353
507.6	0.98328
507.8	0.98302
508.0	0.9825
508.2	0.98237
508.4	0.98125
508.6	0.98133
508.8	0.98073
509.0	0.98124
509.2	0.98057
509.4	0.98041
509.6	0.9798
509.8	0.98041
510.0	0.98053
510.2	0.97994
510.4	0.97967
510.6	0.98004
510.8	0.97987
511.0	0.98034
511.2	0.98069
511.4	0.9803
511.6	0.98108
511.8	0.98091
512.0	0.98126
512.2	0.9819
512.4	0.98201
512.6	0.98143
512.8	0.98258
513.0	0.98249
513.2	0.98292
513.4	0.98323
513.6	0.98384
513.8	0.98413
514.0	0.98464
514.2	0.98485
514.4	0.98524
514.6	0.98592
514.8	0.98683
515.0	0.98646
515.2	0.98767
515.4	0.98761
515.6	0.98786
515.8	0.98828
516.0	0.98936
516.2	0.98948
516.4	0.98963
516.6	0.99037
516.8	0.99064
517.0	0.99056
517.2	0.99086
517.4	0.9912
517.6	0.99148
517.8	0.99141
518.0	0.99162
518.2	0.99173
518.4	0.99142
518.6	0.99199
518.8	0.99155
519.0	0.99098
519.2	0.99143
519.4	0.99096
519.6	0.99107
519.8	0.99126
520.0	0.99119
520.2	0.99098
520.4	0.99061
520.6	0.99086
520.8	0.99037
521.0	0.99053
521.2	0.99018
521.4	0.98979
521.6	0.98967
521.8	0.98891
522.0	0.98909
522.2	0.98868
522.4	0.9886
522.6	0.98827
522.8	0.98802
523.0	0.98814
523.2	0.98734
523.4	0.98713
523.6	0.98689
523.8	0.98658
524.0	0.98639
524.2	0.98573
524.4	0.98583
524.6	0.98575
524.8	0.98537
525.0	0.98508
525.2	0.98481
525.4	0.98498
525.6	0.98483
525.8	0.98495
526.0	0.98453
526.2	0.98428
526.4	0.98501
526.6	0.98477
526.8	0.98511
527.0	0.98502
527.2	0.98505
527.4	0.98501
527.6	0.98523
527.8	0.98487
528.0	0.98622
528.2	0.98588
528.4	0.98618
528.6	0.98643
528.8	0.98646
529.0	0.98684
529.2	0.98673
529.4	0.98755
529.6	0.98747
529.8	0.98765
530.0	0.98817
530.2	0.98895
530.4	0.98938
530.6	0.98905
530.8	0.98993
531.0	0.99025
531.2	0.9905
531.4	0.99111
531.6	0.99137
531.8	0.99154
532.0	0.99212
532.2	0.99242
532.4	0.99249
532.6	0.9931
532.8	0.9934
533.0	0.99389
533.2	0.99395
533.4	0.99396
533.6	0.99411
533.8	0.99483
534.0	0.99475
534.2	0.99513
534.4	0.99515
534.6	0.99547
534.8	0.99508
535.0	0.9957
535.2	0.9955
535.4	0.99576
535.6	0.99525
535.8	0.99586
536.0	0.99597
536.2	0.99566
536.4	0.99536
536.6	0.99568
536.8	0.99585
537.0	0.99547
537.2	0.99579
537.4	0.99505
537.6	0.99541
537.8	0.99462
538.0	0.99475
538.2	0.99441
538.4	0.9944
538.6	0.99362
538.8	0.99336
539.0	0.99375
539.2	0.99251
539.4	0.99245
539.6	0.99229
539.8	0.99166
540.0	0.99191
540.2	0.9909
540.4	0.9911
540.6	0.99033
540.8	0.99078
541.0	0.99026
541.2	0.98981
541.4	0.98962
541.6	0.98991
541.8	0.98912
542.0	0.98924
542.2	0.98922
542.4	0.98876
542.6	0.98832
542.8	0.98835
543.0	0.98799
543.2	0.98791
543.4	0.98769
543.6	0.98747
543.8	0.98766
544.0	0.9874
544.2	0.98765
544.4	0.98716
544.6	0.98777
544.8	0.98796
545.0	0.98752
545.2	0.98738
545.4	0.98742
545.6	0.98815
545.8	0.98785
546.0	0.98788
546.2	0.988
546.4	0.9883
546.6	0.98849
546.8	0.98912
547.0	0.98982
547.2	0.9898
547.4	0.98975
547.6	0.99017
547.8	0.99091
548.0	0.99113
548.2	0.99144
548.4	0.99147
548.6	0.99209
548.8	0.99252
549.0	0.99238
549.2	0.99306
549.4	0.99344
549.6	0.99354
549.8	0.99432
550.0	0.99424
550.2	0.99426
550.4	0.99521
550.6	0.99487
550.8	0.99549
551.0	0.99576
551.2	0.99596
551.4	0.99636
551.6	0.99652
551.8	0.99638
552.0	0.99724
552.2	0.99696
552.4	0.99735
552.6	0.99714
552.8	0.99788
553.0	0.99758
553.2	0.99843
553.4	0.99796
553.6	0.99791
553.8	0.99801
554.0	0.99793
554.2	0.99784
554.4	0.99751
554.6	0.99804
554.8	0.99786
555.0	0.99774
555.2	0.99739
555.4	0.9973
555.6	0.99708
555.8	0.99699
556.0	0.99677
556.2	0.99603
556.4	0.99628
556.6	0.99556
556.8	0.99513
557.0	0.99525
557.2	0.99419
557.4	0.99454
557.6	0.99419
557.8	0.99368
558.0	0.99343
558.2	0.99334
558.4	0.99261
558.6	0.99285
558.8	0.99219
559.0	0.9921
559.2	0.99145
559.4	0.9912
559.6	0.99106
559.8	0.99027
560.0	0.99045
560.2	0.99009
560.4	0.98997
560.6	0.98952
560.8	0.98988
561.0	0.98954
561.2	0.98919
561.4	0.98884
561.6	0.98855
561.8	0.98866
562.0	0.98868
562.2	0.98826
562.4	0.98864
562.6	0.98889
562.8	0.98863
563.0	0.98877
563.2	0.98834
563.4	0.98878
563.6	0.98912
563.8	0.98892
564.0	0.98923
564.2	0.98927
564.4	0.98954
564.6	0.99011
564.8	0.99022
565.0	0.99081
565.2	0.99073
565.4	0.99104
565.6	0.99151
565.8	0.99156
566.0	0.99187
566.2	0.99206
566.4	0.99277
566.6	0.99278
566.8	0.99344
567.0	0.99358
567.2	0.99407
567.4	0.99401
567.6	0.99408
567.8	0.99532
568.0	0.99541
568.2	0.99541
568.4	0.99596
568.6	0.99624
568.8	0.9963
569.0	0.99693
569.2	0.99714
569.4	0.99728
569.6	0.99749
569.8	0.99785
570.0	0.99816
570.2	0.99835
570.4	0.99817
570.6	0.99886
570.8	0.99898
571.0	0.99891
571.2	0.99912
571.4	0.99942
571.6	0.99956
571.8	0.99893
572.0	0.99943
572.2	0.99957
572.4	0.99909
572.6	0.99949
572.8	0.99899
573.0	0.99863
573.2	0.99901
573.4	0.99858
573.6	0.99805
573.8	0.99823
574.0	0.99806
574.2	0.99759
574.4	0.99748
574.6	0.99715
574.8	0.99725
575.0	0.99637
575.2	0.99628
575.4	0.99633
575.6	0.99635
575.8	0.99581
576.0	0.99563
576.2	0.99519
576.4	0.995
576.6	0.99485
576.8	0.99484
577.0	0.99444
577.2	0.99412
577.4	0.99427
577.6	0.99427
577.8	0.99409
578.0	0.9938
578.2	0.99367
578.4	0.99337
578.6	0.99392
578.8	0.99379
579.0	0.99371
579.2	0.99352
579.4	0.99324
579.6	0.99325
579.8	0.99375
580.0	0.99364
580.2	0.99346
580.4	0.99365
580.6	0.99397
580.8	0.99446
581.0	0.99451
581.2	0.99402
581.4	0.9948
581.6	0.99527
581.8	0.99506
582.0	0.9947
582.2	0.9958
582.4	0.99624
582.6	0.99551
582.8	0.99634
583.0	0.99649
583.2	0.99665
583.4	0.99635
583.6	0.99647
583.8	0.99681
584.0	0.99695
584.2	0.9975
584.4	0.99723
584.6	0.9976
584.8	0.99713
585.0	0.99778
585.2	0.99704
585.4	0.9967
585.6	0.99727
585.8	0.99662
586.0	0.99608
586.2	0.99637
586.4	0.99574
586.6	0.99596
586.8	0.99523
587.0	0.99517
587.2	0.99451
587.4	0.99424
587.6	0.9939
587.8	0.99327
588.0	0.99275
588.2	0.99271
588.4	0.99218
588.6	0.99228
588.8	0.99179
589.0	0.99141
589.2	0.99108
589.4	0.99111
589.6	0.99033
589.8	0.99088
590.0	0.99061
590.2	0.99079
590.4	0.99108
590.6	0.99144
590.8	0.99149
591.0	0.99192
591.2	0.99222
591.4	0.99243
591.6	0.99336
591.8	0.99323
592.0	0.99376
592.2	0.99454
592.4	0.99462
592.6	0.99605
592.8	0.99618
593.0	0.99635
593.2	0.99704
593.4	0.99688
593.6	0.99619
593.8	0.99572
594.0	0.99459
594.2	0.99312
594.4	0.99105
594.6	0.9883
594.8	0.98457
595.0	0.98008
595.2	0.97458
595.4	0.96733
595.6	0.96007
595.8	0.95074
596.0	0.93963
596.2	0.9271
596.4	0.91305
596.6	0.89716
596.8	0.87909
597.0	0.85918
597.2	0.83837
597.4	0.81515
597.6	0.79019
597.8	0.76396
598.0	0.73613
598.2	0.70779
598.4	0.67776
598.6	0.64755
598.8	0.61647
599.0	0.58542
599.2	0.55454
599.4	0.52387
599.6	0.49401
599.8	0.46405
600.0	0.43527
600.2	0.40779
600.4	0.38111
600.6	0.35566
600.8	0.33161
601.0	0.30881
601.2	0.28718
601.4	0.26692
601.6	0.24727
601.8	0.22954
602.0	0.21258
602.2	0.19711
602.4	0.18272
602.6	0.16904
602.8	0.15666
603.0	0.14505
603.2	0.13428
603.4	0.12442
603.6	0.11516
603.8	0.10685
604.0	0.09889
604.2	0.09168
604.4	0.08502
604.6	0.07893
604.8	0.07327
605.0	0.06806
605.2	0.06327
605.4	0.05884
605.6	0.0547
605.8	0.05091
606.0	0.04739
606.2	0.04419
606.4	0.04112
606.6	0.03838
606.8	0.03583
607.0	0.03345
607.2	0.03124
607.4	0.0292
607.6	0.02735
607.8	0.02561
608.0	0.02396
608.2	0.02244
608.4	0.02105
608.6	0.01975
608.8	0.01855
609.0	0.01744
609.2	0.01634
609.4	0.01539
609.6	0.01449
609.8	0.01364
610.0	0.01284
610.2	0.0121
610.4	0.01142
610.6	0.01077
610.8	0.01015
611.0	0.00959
611.2	0.00908
611.4	0.0093
611.6	0.00881
611.8	0.00832
612.0	0.00787
612.2	0.00745
612.4	0.00703
612.6	0.00668
612.8	0.00633
613.0	0.00599
613.2	0.00568
613.4	0.00539
613.6	0.00509
613.8	0.00488
614.0	0.00461
614.2	0.00439
614.4	0.00417
614.6	0.00397
614.8	0.00378
615.0	0.0036
615.2	0.00343
615.4	0.00326
615.6	0.00311
615.8	0.00296
616.0	0.00283
616.2	0.00269
616.4	0.00259
616.6	0.00245
616.8	0.00235
617.0	0.00224
617.2	0.00214
617.4	0.00204
617.6	0.00196
617.8	0.00188
618.0	0.00179
618.2	0.00172
618.4	0.00165
618.6	0.00157
618.8	0.0015
619.0	0.00145
619.2	0.00138
619.4	0.00133
619.6	0.00127
619.8	0.00122
620.0	0.00118
620.2	0.00112
620.4	0.00108
620.6	0.00104
620.8	9.9205e-04
621.0	9.619e-04
621.2	9.2245e-04
621.4	8.8597e-04
621.6	8.544e-04
621.8	8.1891e-04
622.0	7.9226e-04
622.2	7.6186e-04
622.4	7.3076e-04
622.6	7.042e-04
622.8	6.8181e-04
623.0	6.546e-04
623.2	6.3139e-04
623.4	6.1022e-04
623.6	5.8788e-04
623.8	5.6656e-04
624.0	5.4439e-04
624.2	5.2515e-04
624.4	5.0799e-04
624.6	4.9121e-04
624.8	4.7422e-04
625.0	4.5552e-04
625.2	4.4008e-04
625.4	4.2616e-04
625.6	4.1137e-04
625.8	3.9674e-04
626.0	3.8316e-04
626.2	3.7038e-04
626.4	3.5897e-04
626.6	3.4895e-04
626.8	3.3671e-04
627.0	3.2653e-04
627.2	3.1651e-04
627.4	3.0585e-04
627.6	2.9478e-04
627.8	2.8666e-04
628.0	2.772e-04
628.2	2.6908e-04
628.4	2.6112e-04
628.6	2.5231e-04
628.8	2.455e-04
629.0	2.3651e-04
629.2	2.3011e-04
629.4	2.2466e-04
629.6	2.1803e-04
629.8	2.1104e-04
630.0	2.0416e-04
630.2	1.9791e-04
630.4	1.9258e-04
630.6	1.8787e-04
630.8	1.8148e-04
631.0	1.7608e-04
631.2	1.7231e-04
631.4	1.6853e-04
631.6	1.6388e-04
631.8	1.5937e-04
632.0	1.5497e-04
632.2	1.507e-04
632.4	1.4655e-04
632.6	1.4251e-04
632.8	1.3858e-04
633.0	1.3476e-04
633.2	1.3113e-04
633.4	1.2774e-04
633.6	1.2444e-04
633.8	1.2123e-04
634.0	1.181e-04
634.2	1.1505e-04
634.4	1.1208e-04
634.6	1.0919e-04
634.8	1.0637e-04
635.0	1.0371e-04
635.2	1.0119e-04
635.4	9.8723e-05
635.6	9.6319e-05
635.8	9.3973e-05
636.0	9.1684e-05
636.2	8.9451e-05
636.4	8.7272e-05
636.6	8.5147e-05
636.8	8.3141e-05
637.0	8.1193e-05
637.2	7.9291e-05
637.4	7.7434e-05
637.6	7.562e-05
637.8	7.3848e-05
638.0	7.2118e-05
638.2	7.0429e-05
638.4	6.8786e-05
638.6	6.723e-05
638.8	6.5709e-05
639.0	6.4222e-05
639.2	6.2769e-05
639.4	6.1349e-05
639.6	5.9961e-05
639.8	5.8604e-05
640.0	5.7278e-05
640.2	5.6015e-05
640.4	5.4829e-05
640.6	5.3669e-05
640.8	5.2533e-05
641.0	5.1421e-05
641.2	5.0333e-05
641.4	4.9267e-05
641.6	4.8224e-05
641.8	4.7204e-05
642.0	4.6205e-05
642.2	4.5293e-05
642.4	4.4426e-05
642.6	4.3575e-05
642.8	4.2741e-05
643.0	4.1923e-05
643.2	4.112e-05
643.4	4.0333e-05
643.6	3.9561e-05
643.8	3.8804e-05
644.0	3.8061e-05
644.2	3.7332e-05
644.4	3.6617e-05
644.6	3.5916e-05
644.8	3.5229e-05
645.0	3.4554e-05
645.2	3.3893e-05
645.4	3.3244e-05
645.6	3.2618e-05
645.8	3.2038e-05
646.0	3.1468e-05
646.2	3.0909e-05
646.4	3.0359e-05
646.6	2.9819e-05
646.8	2.9289e-05
647.0	2.8768e-05
647.2	2.8256e-05
647.4	2.7754e-05
647.6	2.726e-05
647.8	2.6775e-05
648.0	2.6299e-05
648.2	2.5832e-05
648.4	2.5372e-05
648.6	2.4921e-05
648.8	2.4478e-05
649.0	2.4042e-05
649.2	2.3667e-05
649.4	2.3313e-05
649.6	2.2965e-05
649.8	2.2621e-05
650.0	2.2283e-05
650.2	2.195e-05
650.4	2.1622e-05
650.6	2.1298e-05
650.8	2.098e-05
651.0	2.0666e-05
651.2	2.0357e-05
651.4	2.0053e-05
651.6	1.9753e-05
651.8	1.9458e-05
652.0	1.9186e-05
652.2	1.8927e-05
652.4	1.867e-05
652.6	1.8418e-05
