Typical Measured Spectrum of Semrock FF614-SDi01 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
235.0	0.1617
235.2	0.16657
235.4	0.17171
235.6	0.18712
235.8	0.20254
236.0	0.21796
236.2	0.23657
236.4	0.25715
236.6	0.27773
236.8	0.29812
237.0	0.31778
237.2	0.33745
237.4	0.35711
237.6	0.36854
237.8	0.37797
238.0	0.38739
238.2	0.39577
238.4	0.40258
238.6	0.40939
238.8	0.41619
239.0	0.43856
239.2	0.461
239.4	0.48345
239.6	0.51979
239.8	0.5658
240.0	0.6118
240.2	0.65124
240.4	0.66176
240.6	0.67228
240.8	0.68281
241.0	0.69428
241.2	0.70603
241.4	0.71778
241.6	0.72935
241.8	0.74063
242.0	0.75191
242.2	0.76319
242.4	0.77012
242.6	0.7769
242.8	0.78369
243.0	0.7875
243.2	0.789
243.4	0.79051
243.6	0.79235
243.8	0.79592
244.0	0.79948
244.2	0.80305
244.4	0.80453
244.6	0.80533
244.8	0.80613
245.0	0.80884
245.2	0.81503
245.4	0.82122
245.6	0.82741
245.8	0.83741
246.0	0.84762
246.2	0.85783
246.4	0.86417
246.6	0.86734
246.8	0.87052
247.0	0.87275
247.2	0.86942
247.4	0.86609
247.6	0.86276
247.8	0.86485
248.0	0.8688
248.2	0.87274
248.4	0.87526
248.6	0.87503
248.8	0.8748
249.0	0.87456
249.2	0.87185
249.4	0.86897
249.6	0.8661
249.8	0.86662
250.0	0.87008
250.2	0.87355
250.4	0.87659
250.6	0.87691
250.8	0.87724
251.0	0.87756
251.2	0.87844
251.4	0.87951
251.6	0.88059
251.8	0.88132
252.0	0.88136
252.2	0.8814
252.4	0.88144
252.6	0.88349
252.8	0.88568
253.0	0.88788
253.2	0.8931
253.4	0.90095
253.6	0.9088
253.8	0.91665
254.0	0.9245
254.2	0.92815
254.4	0.93179
254.6	0.92645
254.8	0.92027
255.0	0.91409
255.2	0.90997
255.4	0.90778
255.6	0.9056
255.8	0.90437
256.0	0.91054
256.2	0.9167
256.4	0.92287
256.6	0.92307
256.8	0.9209
257.0	0.91874
257.2	0.91653
257.4	0.91423
257.6	0.91193
257.8	0.90963
258.0	0.91283
258.2	0.91655
258.4	0.92027
258.6	0.91873
258.8	0.91225
259.0	0.90577
259.2	0.9004
259.4	0.90362
259.6	0.90684
259.8	0.91006
260.0	0.91327
260.2	0.90682
260.4	0.91155
260.6	0.92048
260.8	0.92177
261.0	0.92157
261.2	0.9182
261.4	0.91836
261.6	0.92067
261.8	0.92418
262.0	0.92556
262.2	0.91903
262.4	0.91624
262.6	0.91685
262.8	0.91671
263.0	0.91719
263.2	0.92313
263.4	0.92605
263.6	0.9249
263.8	0.92181
264.0	0.91806
264.2	0.91691
264.4	0.91629
264.6	0.91672
264.8	0.91715
265.0	0.91759
265.2	0.92608
265.4	0.9387
265.6	0.94222
265.8	0.93242
266.0	0.93324
266.2	0.95059
266.4	0.94204
266.6	0.9255
266.8	0.92151
267.0	0.93204
267.2	0.92144
267.4	0.9262
267.6	0.91624
267.8	0.9275
268.0	0.91591
268.2	0.91151
268.4	0.91157
268.6	0.92277
268.8	0.91137
269.0	0.91718
269.2	0.90896
269.4	0.92468
269.6	0.92268
269.8	0.91655
270.0	0.93387
270.2	0.9324
270.4	0.94041
270.6	0.92555
270.8	0.919
271.0	0.9318
271.2	0.92871
271.4	0.92154
271.6	0.92765
271.8	0.92635
272.0	0.92471
272.2	0.93405
272.4	0.91519
272.6	0.92624
272.8	0.93117
273.0	0.9381
273.2	0.93807
273.4	0.94473
273.6	0.94074
273.8	0.94501
274.0	0.94462
274.2	0.93805
274.4	0.94
274.6	0.94898
274.8	0.9311
275.0	0.94049
275.2	0.94868
275.4	0.94004
275.6	0.93401
275.8	0.94169
276.0	0.92926
276.2	0.93105
276.4	0.93245
276.6	0.93835
276.8	0.93441
277.0	0.94816
277.2	0.9448
277.4	0.9382
277.6	0.93837
277.8	0.93385
278.0	0.92776
278.2	0.93296
278.4	0.94176
278.6	0.93881
278.8	0.931
279.0	0.94791
279.2	0.93292
279.4	0.9305
279.6	0.93975
279.8	0.93632
280.0	0.94263
280.2	0.93698
280.4	0.92567
280.6	0.94001
280.8	0.93933
281.0	0.93862
281.2	0.92864
281.4	0.94287
281.6	0.91649
281.8	0.92974
282.0	0.93113
282.2	0.92838
282.4	0.93376
282.6	0.93428
282.8	0.93796
283.0	0.93291
283.2	0.92587
283.4	0.92701
283.6	0.91841
283.8	0.92815
284.0	0.93035
284.2	0.92464
284.4	0.92237
284.6	0.92992
284.8	0.93049
285.0	0.92331
285.2	0.9368
285.4	0.93545
285.6	0.925
285.8	0.94193
286.0	0.93628
286.2	0.93924
286.4	0.94145
286.6	0.93979
286.8	0.93315
287.0	0.94288
287.2	0.9399
287.4	0.93616
287.6	0.9461
287.8	0.93449
288.0	0.92882
288.2	0.93935
288.4	0.93244
288.6	0.9444
288.8	0.94294
289.0	0.93592
289.2	0.94834
289.4	0.94408
289.6	0.95516
289.8	0.94521
290.0	0.94923
290.2	0.94678
290.4	0.94524
290.6	0.95898
290.8	0.94566
291.0	0.95974
291.2	0.96705
291.4	0.96596
291.6	0.96632
291.8	0.96078
292.0	0.96727
292.2	0.96162
292.4	0.95624
292.6	0.9552
292.8	0.95237
293.0	0.9503
293.2	0.94176
293.4	0.94015
293.6	0.93193
293.8	0.93347
294.0	0.93338
294.2	0.93552
294.4	0.93743
294.6	0.93715
294.8	0.93558
295.0	0.93629
295.2	0.94276
295.4	0.94294
295.6	0.94077
295.8	0.93498
296.0	0.94058
296.2	0.93554
296.4	0.93954
296.6	0.93698
296.8	0.93249
297.0	0.93902
297.2	0.93353
297.4	0.93681
297.6	0.93431
297.8	0.93766
298.0	0.93903
298.2	0.93751
298.4	0.94742
298.6	0.94568
298.8	0.94478
299.0	0.9496
299.2	0.94635
299.4	0.95293
299.6	0.95149
299.8	0.94924
300.0	0.94969
300.2	0.9496
300.4	0.95993
300.6	0.94331
300.8	0.94557
301.0	0.94105
301.2	0.94096
301.4	0.94704
301.6	0.94101
301.8	0.94619
302.0	0.944
302.2	0.94849
302.4	0.94864
302.6	0.94682
302.8	0.94622
303.0	0.94857
303.2	0.95169
303.4	0.95695
303.6	0.95805
303.8	0.95628
304.0	0.94967
304.2	0.95621
304.4	0.95206
304.6	0.95515
304.8	0.95356
305.0	0.95775
305.2	0.95531
305.4	0.95496
305.6	0.95765
305.8	0.95763
306.0	0.9574
306.2	0.96148
306.4	0.96125
306.6	0.96692
306.8	0.96403
307.0	0.97034
307.2	0.96544
307.4	0.96499
307.6	0.96377
307.8	0.96841
308.0	0.96741
308.2	0.96741
308.4	0.96372
308.6	0.97136
308.8	0.96569
309.0	0.96196
309.2	0.96691
309.4	0.9649
309.6	0.96085
309.8	0.96533
310.0	0.96284
310.2	0.96777
310.4	0.96039
310.6	0.96405
310.8	0.96302
311.0	0.96209
311.2	0.95333
311.4	0.95849
311.6	0.95425
311.8	0.95607
312.0	0.94987
312.2	0.95302
312.4	0.94988
312.6	0.94572
312.8	0.9439
313.0	0.94669
313.2	0.94201
313.4	0.94168
313.6	0.94336
313.8	0.94578
314.0	0.94651
314.2	0.94572
314.4	0.94953
314.6	0.94656
314.8	0.9482
315.0	0.94742
315.2	0.9491
315.4	0.94982
315.6	0.94351
315.8	0.95039
316.0	0.9508
316.2	0.94693
316.4	0.95282
316.6	0.95258
316.8	0.95348
317.0	0.95021
317.2	0.94958
317.4	0.94489
317.6	0.95036
317.8	0.95512
318.0	0.95845
318.2	0.95792
318.4	0.95929
318.6	0.95629
318.8	0.96015
319.0	0.96758
319.2	0.96308
319.4	0.96995
319.6	0.96962
319.8	0.968
320.0	0.97075
320.2	0.97285
320.4	0.97049
320.6	0.97084
320.8	0.96791
321.0	0.96632
321.2	0.95985
321.4	0.96191
321.6	0.96265
321.8	0.95926
322.0	0.95704
322.2	0.95526
322.4	0.95727
322.6	0.95596
322.8	0.95365
323.0	0.95296
323.2	0.95395
323.4	0.96078
323.6	0.9567
323.8	0.95565
324.0	0.95894
324.2	0.96048
324.4	0.9571
324.6	0.96541
324.8	0.96136
325.0	0.96108
325.2	0.95907
325.4	0.95646
325.6	0.95959
325.8	0.95881
326.0	0.95308
326.2	0.95472
326.4	0.95728
326.6	0.95736
326.8	0.95764
327.0	0.95193
327.2	0.95732
327.4	0.95612
327.6	0.95866
327.8	0.95853
328.0	0.96071
328.2	0.9625
328.4	0.96458
328.6	0.96509
328.8	0.97006
329.0	0.96833
329.2	0.97251
329.4	0.97314
329.6	0.97317
329.8	0.97421
330.0	0.97561
330.2	0.97573
330.4	0.97547
330.6	0.97138
330.8	0.96947
331.0	0.96383
331.2	0.96729
331.4	0.96417
331.6	0.96466
331.8	0.95935
332.0	0.96077
332.2	0.96099
332.4	0.96049
332.6	0.95708
332.8	0.95862
333.0	0.95598
333.2	0.9591
333.4	0.95543
333.6	0.95646
333.8	0.95618
334.0	0.9567
334.2	0.95606
334.4	0.95275
334.6	0.96004
334.8	0.95452
335.0	0.95551
335.2	0.9549
335.4	0.95422
335.6	0.95143
335.8	0.95255
336.0	0.94944
336.2	0.95344
336.4	0.95169
336.6	0.94922
336.8	0.95062
337.0	0.95243
337.2	0.95104
337.4	0.95079
337.6	0.95411
337.8	0.95465
338.0	0.95575
338.2	0.95577
338.4	0.95612
338.6	0.95608
338.8	0.95746
339.0	0.95961
339.2	0.96289
339.4	0.964
339.6	0.96359
339.8	0.96219
340.0	0.96105
340.2	0.96279
340.4	0.96184
340.6	0.96284
340.8	0.96072
341.0	0.95813
341.2	0.96191
341.4	0.96011
341.6	0.95995
341.8	0.95864
342.0	0.96103
342.2	0.96123
342.4	0.95839
342.6	0.95996
342.8	0.96125
343.0	0.96542
343.2	0.96396
343.4	0.96485
343.6	0.96352
343.8	0.9667
344.0	0.97142
344.2	0.97206
344.4	0.97258
344.6	0.97392
344.8	0.97693
345.0	0.9765
345.2	0.9775
345.4	0.97618
345.6	0.97872
345.8	0.97656
346.0	0.97822
346.2	0.98068
346.4	0.9788
346.6	0.97794
346.8	0.97835
347.0	0.97908
347.2	0.97945
347.4	0.97672
347.6	0.97858
347.8	0.97755
348.0	0.97855
348.2	0.97678
348.4	0.97901
348.6	0.9772
348.8	0.9749
349.0	0.9763
349.2	0.9772
349.4	0.97906
349.6	0.97779
349.8	0.97871
350.0	0.97464
350.2	0.9751
350.4	0.97504
350.6	0.97438
350.8	0.97429
351.0	0.97397
351.2	0.97359
351.4	0.97269
351.6	0.9714
351.8	0.97127
352.0	0.97293
352.2	0.96991
352.4	0.96724
352.6	0.96874
352.8	0.96809
353.0	0.96609
353.2	0.96811
353.4	0.96481
353.6	0.96861
353.8	0.9659
354.0	0.96442
354.2	0.96859
354.4	0.96451
354.6	0.96798
354.8	0.96659
355.0	0.96953
355.2	0.96743
355.4	0.9685
355.6	0.96893
355.8	0.96778
356.0	0.96691
356.2	0.96704
356.4	0.96309
356.6	0.96323
356.8	0.96242
357.0	0.96529
357.2	0.96177
357.4	0.96365
357.6	0.96048
357.8	0.96166
358.0	0.96111
358.2	0.96133
358.4	0.95976
358.6	0.96154
358.8	0.95948
359.0	0.96071
359.2	0.96108
359.4	0.95972
359.6	0.96054
359.8	0.95971
360.0	0.9618
360.2	0.96319
360.4	0.9655
360.6	0.96594
360.8	0.96913
361.0	0.97004
361.2	0.97237
361.4	0.97486
361.6	0.97402
361.8	0.97678
362.0	0.97434
362.2	0.97339
362.4	0.97325
362.6	0.9745
362.8	0.97446
363.0	0.97059
363.2	0.97075
363.4	0.97172
363.6	0.97038
363.8	0.96263
364.0	0.96364
364.2	0.96469
364.4	0.96158
364.6	0.95864
364.8	0.95724
365.0	0.95815
365.2	0.96266
365.4	0.96118
365.6	0.96073
365.8	0.96163
366.0	0.96117
366.2	0.96389
366.4	0.96599
366.6	0.96634
366.8	0.96658
367.0	0.96731
367.2	0.97238
367.4	0.9707
367.6	0.97225
367.8	0.97294
368.0	0.97502
368.2	0.97442
368.4	0.9764
368.6	0.97441
368.8	0.97687
369.0	0.97673
369.2	0.97398
369.4	0.97565
369.6	0.97362
369.8	0.97592
370.0	0.97514
370.2	0.97362
370.4	0.97397
370.6	0.97149
370.8	0.97247
371.0	0.97254
371.2	0.97412
371.4	0.97245
371.6	0.97179
371.8	0.97514
372.0	0.97106
372.2	0.97316
372.4	0.97205
372.6	0.97582
372.8	0.97499
373.0	0.97383
373.2	0.97366
373.4	0.975
373.6	0.97759
373.8	0.9785
374.0	0.97908
374.2	0.97852
374.4	0.97778
374.6	0.97642
374.8	0.97716
375.0	0.97478
375.2	0.97794
375.4	0.97771
375.6	0.97305
375.8	0.97386
376.0	0.97305
376.2	0.97369
376.4	0.96967
376.6	0.96985
376.8	0.96985
377.0	0.9642
377.2	0.96559
377.4	0.96339
377.6	0.96311
377.8	0.96144
378.0	0.96097
378.2	0.96059
378.4	0.96069
378.6	0.95985
378.8	0.95982
379.0	0.96182
379.2	0.96157
379.4	0.96224
379.6	0.96048
379.8	0.96341
380.0	0.96079
380.2	0.96437
380.4	0.96304
380.6	0.96358
380.8	0.96472
381.0	0.96642
381.2	0.96882
381.4	0.96844
381.6	0.96848
381.8	0.96783
382.0	0.97033
382.2	0.97069
382.4	0.96962
382.6	0.96841
382.8	0.96868
383.0	0.96691
383.2	0.96558
383.4	0.96694
383.6	0.96424
383.8	0.96449
384.0	0.96368
384.2	0.96258
384.4	0.96422
384.6	0.96469
384.8	0.96324
385.0	0.9619
385.2	0.96335
385.4	0.96249
385.6	0.96325
385.8	0.9627
386.0	0.96689
386.2	0.96659
386.4	0.96814
386.6	0.9667
386.8	0.96777
387.0	0.96902
387.2	0.96909
387.4	0.9711
387.6	0.97269
387.8	0.97377
388.0	0.97448
388.2	0.972
388.4	0.97458
388.6	0.97718
388.8	0.97592
389.0	0.97624
389.2	0.97227
389.4	0.97324
389.6	0.97494
389.8	0.97345
390.0	0.97412
390.2	0.9698
390.4	0.96956
390.6	0.96801
390.8	0.96586
391.0	0.96769
391.2	0.96407
391.4	0.96556
391.6	0.96464
391.8	0.96193
392.0	0.96101
392.2	0.95765
392.4	0.95854
392.6	0.95612
392.8	0.95507
393.0	0.95474
393.2	0.95422
393.4	0.95316
393.6	0.95173
393.8	0.95226
394.0	0.95317
394.2	0.95461
394.4	0.95441
394.6	0.95544
394.8	0.95431
395.0	0.95513
395.2	0.95783
395.4	0.95502
395.6	0.95705
395.8	0.95998
396.0	0.95834
396.2	0.96137
396.4	0.96003
396.6	0.96084
396.8	0.96191
397.0	0.963
397.2	0.95985
397.4	0.95958
397.6	0.96216
397.8	0.96264
398.0	0.96312
398.2	0.96398
398.4	0.96311
398.6	0.96205
398.8	0.96151
399.0	0.96415
