Typical Measured Spectrum of Semrock NF03-594E Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
340.0	0.01875
340.2	0.01852
340.4	0.01864
340.6	0.01872
340.8	0.01883
341.0	0.01899
341.2	0.01886
341.4	0.01912
341.6	0.01918
341.8	0.01928
342.0	0.01925
342.2	0.01929
342.4	0.01959
342.6	0.01949
342.8	0.01974
343.0	0.01996
343.2	0.02013
343.4	0.02087
343.6	0.02191
343.8	0.02679
344.0	0.0526
344.2	0.14337
344.4	0.34056
344.6	0.52875
344.8	0.63374
345.0	0.70464
345.2	0.73681
345.4	0.74837
345.6	0.76356
345.8	0.77478
346.0	0.77917
346.2	0.78651
346.4	0.79788
346.6	0.80103
346.8	0.79753
347.0	0.80637
347.2	0.80839
347.4	0.80618
347.6	0.80813
347.8	0.82125
348.0	0.82271
348.2	0.80806
348.4	0.8011
348.6	0.81123
348.8	0.82657
349.0	0.8231
349.2	0.82218
349.4	0.82614
349.6	0.83855
349.8	0.84268
350.0	0.83967
350.2	0.84894
350.4	0.85444
350.6	0.85011
350.8	0.84509
351.0	0.84638
351.2	0.85524
351.4	0.85692
351.6	0.85358
351.8	0.85475
352.0	0.86546
352.2	0.86654
352.4	0.8585
352.6	0.85641
352.8	0.85749
353.0	0.86548
353.2	0.86683
353.4	0.86651
353.6	0.87155
353.8	0.87945
354.0	0.87786
354.2	0.8741
354.4	0.87307
354.6	0.87439
354.8	0.87936
355.0	0.87656
355.2	0.88131
355.4	0.88536
355.6	0.8916
355.8	0.89373
356.0	0.89028
356.2	0.89116
356.4	0.89186
356.6	0.89157
356.8	0.89054
357.0	0.89084
357.2	0.89556
357.4	0.90198
357.6	0.90439
357.8	0.90238
358.0	0.90175
358.2	0.90441
358.4	0.90206
358.6	0.89851
358.8	0.89416
359.0	0.89309
359.2	0.89781
359.4	0.90334
359.6	0.90436
359.8	0.90515
360.0	0.90876
360.2	0.91237
360.4	0.90711
360.6	0.90259
360.8	0.9029
361.0	0.90574
361.2	0.91018
361.4	0.91092
361.6	0.91038
361.8	0.91485
362.0	0.91941
362.2	0.92398
362.4	0.92127
362.6	0.91735
362.8	0.91757
363.0	0.91882
363.2	0.91923
363.4	0.91402
363.6	0.91341
363.8	0.91542
364.0	0.91916
364.2	0.91853
364.4	0.91787
364.6	0.9194
364.8	0.92223
365.0	0.92368
365.2	0.92505
365.4	0.9214
365.6	0.917
365.8	0.91824
366.0	0.92015
366.2	0.92125
366.4	0.91787
366.6	0.91824
366.8	0.92393
367.0	0.93032
367.2	0.93165
367.4	0.92789
367.6	0.92091
367.8	0.92154
368.0	0.92819
368.2	0.92935
368.4	0.92277
368.6	0.9107
368.8	0.90693
369.0	0.91539
369.2	0.93009
369.4	0.93505
369.6	0.93182
369.8	0.92392
370.0	0.92461
370.2	0.9326
370.4	0.93914
370.6	0.93729
370.8	0.92754
371.0	0.92145
371.2	0.92073
371.4	0.93035
371.6	0.93318
371.8	0.93132
372.0	0.926
372.2	0.92513
372.4	0.93594
372.6	0.94285
372.8	0.94382
373.0	0.93761
373.2	0.93383
373.4	0.93467
373.6	0.94031
373.8	0.94266
374.0	0.93573
374.2	0.92724
374.4	0.92615
374.6	0.93288
374.8	0.94048
375.0	0.94292
375.2	0.93893
375.4	0.93597
375.6	0.93788
375.8	0.94495
376.0	0.95014
376.2	0.94611
376.4	0.93893
376.6	0.93549
376.8	0.9376
377.0	0.93993
377.2	0.94141
377.4	0.93696
377.6	0.93156
377.8	0.93071
378.0	0.93907
378.2	0.94878
378.4	0.95078
378.6	0.94624
378.8	0.94021
379.0	0.93916
379.2	0.94296
379.4	0.94959
379.6	0.94855
379.8	0.94332
380.0	0.93455
380.2	0.93512
380.4	0.93984
380.6	0.9468
380.8	0.94718
381.0	0.94117
381.2	0.93758
381.4	0.9368
381.6	0.94633
381.8	0.95402
382.0	0.95735
382.2	0.95039
382.4	0.94264
382.6	0.93938
382.8	0.94398
383.0	0.94792
383.2	0.94923
383.4	0.94301
383.6	0.93756
383.8	0.93606
384.0	0.94224
384.2	0.94943
384.4	0.95324
384.6	0.95081
384.8	0.9454
385.0	0.94325
385.2	0.94924
385.4	0.95503
385.6	0.95994
385.8	0.95608
386.0	0.94778
386.2	0.94304
386.4	0.94127
386.6	0.94707
386.8	0.95197
387.0	0.95161
387.2	0.94637
387.4	0.94207
387.6	0.94608
387.8	0.95217
388.0	0.95856
388.2	0.96192
388.4	0.95813
388.6	0.95231
388.8	0.94939
389.0	0.95375
389.2	0.95923
389.4	0.96176
389.6	0.95717
389.8	0.94925
390.0	0.94305
390.2	0.94349
390.4	0.94928
390.6	0.95476
390.8	0.95564
391.0	0.95044
391.2	0.94576
391.4	0.94627
391.6	0.95213
391.8	0.96126
392.0	0.96566
392.2	0.96387
392.4	0.95801
392.6	0.95163
392.8	0.95331
393.0	0.95611
393.2	0.96191
393.4	0.96156
393.6	0.95448
393.8	0.94736
394.0	0.94418
394.2	0.94652
394.4	0.95215
394.6	0.96008
394.8	0.96152
395.0	0.9563
395.2	0.95236
395.4	0.95266
395.6	0.959
395.8	0.96575
396.0	0.97075
396.2	0.9646
396.4	0.95844
396.6	0.95021
396.8	0.94718
397.0	0.95203
397.2	0.95833
397.4	0.96082
397.6	0.95581
397.8	0.94954
398.0	0.94289
398.2	0.94522
398.4	0.95017
398.6	0.9595
398.8	0.96492
399.0	0.95882
399.2	0.95433
399.4	0.94585
399.6	0.94593
399.8	0.95279
400.0	0.958
400.2	0.96606
400.4	0.96257
400.6	0.9582
400.8	0.95145
401.0	0.94923
401.2	0.95031
401.4	0.95567
401.6	0.95865
401.8	0.96053
402.0	0.95886
402.2	0.95652
402.4	0.95662
402.6	0.96161
402.8	0.96741
403.0	0.96664
403.2	0.96585
403.4	0.95935
403.6	0.95472
403.8	0.95562
404.0	0.95951
404.2	0.96468
404.4	0.96635
404.6	0.96263
404.8	0.95669
405.0	0.94873
405.2	0.9473
405.4	0.94888
405.6	0.95446
405.8	0.96156
406.0	0.96385
406.2	0.96276
406.4	0.96179
406.6	0.9604
406.8	0.96107
407.0	0.96657
407.2	0.96894
407.4	0.97326
407.6	0.9699
407.8	0.9674
408.0	0.96483
408.2	0.96546
408.4	0.96767
408.6	0.97049
408.8	0.96993
409.0	0.96673
409.2	0.95954
409.4	0.95383
409.6	0.95529
409.8	0.95957
410.0	0.96449
410.2	0.96785
410.4	0.96712
410.6	0.96046
410.8	0.95234
411.0	0.94809
411.2	0.94904
411.4	0.95526
411.6	0.96496
411.8	0.97194
412.0	0.97115
412.2	0.96825
412.4	0.96064
412.6	0.95756
412.8	0.95461
413.0	0.95775
413.2	0.96056
413.4	0.96315
413.6	0.96445
413.8	0.96163
414.0	0.96002
414.2	0.96063
414.4	0.96332
414.6	0.96766
414.8	0.96992
415.0	0.97085
415.2	0.96687
415.4	0.96459
415.6	0.96261
415.8	0.96418
416.0	0.96847
416.2	0.97254
416.4	0.97295
416.6	0.97051
416.8	0.96533
417.0	0.95845
417.2	0.95587
417.4	0.95653
417.6	0.96206
417.8	0.96721
418.0	0.97016
418.2	0.96764
418.4	0.96376
418.6	0.95937
418.8	0.95827
419.0	0.96092
419.2	0.96722
419.4	0.97189
419.6	0.97469
419.8	0.9729
420.0	0.96809
420.2	0.96334
420.4	0.95979
420.6	0.9611
420.8	0.96443
421.0	0.96949
421.2	0.9742
421.4	0.97232
421.6	0.96885
421.8	0.96624
422.0	0.96143
422.2	0.96078
422.4	0.96354
422.6	0.9655
422.8	0.96744
423.0	0.96552
423.2	0.9602
423.4	0.9567
423.6	0.95499
423.8	0.95662
424.0	0.96102
424.2	0.96907
424.4	0.97395
424.6	0.97517
424.8	0.9727
425.0	0.96975
425.2	0.96581
425.4	0.96453
425.6	0.96592
425.8	0.96796
426.0	0.96975
426.2	0.96781
426.4	0.96512
426.6	0.96032
426.8	0.95689
427.0	0.95639
427.2	0.95812
427.4	0.96258
427.6	0.96836
427.8	0.971
428.0	0.97235
428.2	0.96878
428.4	0.96513
428.6	0.96178
428.8	0.9612
429.0	0.96387
429.2	0.96947
429.4	0.97374
429.6	0.97654
429.8	0.97692
430.0	0.97444
430.2	0.97235
430.4	0.96993
430.6	0.9698
430.8	0.97197
431.0	0.97315
431.2	0.97263
431.4	0.97056
431.6	0.9636
431.8	0.95772
432.0	0.95466
432.2	0.95286
432.4	0.95596
432.6	0.96207
432.8	0.96922
433.0	0.9732
433.2	0.97419
433.4	0.96904
433.6	0.96452
433.8	0.96058
434.0	0.95933
434.2	0.96258
434.4	0.9673
434.6	0.97221
434.8	0.97534
435.0	0.97603
435.2	0.97224
435.4	0.96919
435.6	0.96499
435.8	0.96411
436.0	0.9644
436.2	0.96607
436.4	0.96808
436.6	0.96913
436.8	0.96902
437.0	0.96653
437.2	0.9656
437.4	0.96565
437.6	0.96636
437.8	0.97021
438.0	0.97487
438.2	0.9773
438.4	0.97669
438.6	0.97514
438.8	0.97174
439.0	0.96998
439.2	0.96892
439.4	0.97217
439.6	0.97506
439.8	0.97963
440.0	0.98116
440.2	0.98087
440.4	0.97634
440.6	0.96983
440.8	0.96558
441.0	0.96278
441.2	0.96315
441.4	0.96591
441.6	0.96971
441.8	0.97408
442.0	0.97474
442.2	0.97272
442.4	0.96856
442.6	0.96494
442.8	0.96309
443.0	0.96397
443.2	0.9681
443.4	0.97491
443.6	0.97862
443.8	0.9816
444.0	0.9798
444.2	0.97733
444.4	0.97313
444.6	0.9697
444.8	0.96763
445.0	0.9701
445.2	0.97318
445.4	0.97565
445.6	0.97829
445.8	0.97805
446.0	0.97294
446.2	0.96869
446.4	0.96353
446.6	0.96003
446.8	0.9594
447.0	0.96178
447.2	0.96623
447.4	0.97018
447.6	0.97188
447.8	0.97195
448.0	0.97049
448.2	0.96917
448.4	0.96764
448.6	0.969
448.8	0.97206
449.0	0.97785
449.2	0.98346
449.4	0.98699
449.6	0.98751
449.8	0.98585
450.0	0.98301
450.2	0.97962
450.4	0.97741
450.6	0.97686
450.8	0.97881
451.0	0.9815
451.2	0.98284
451.4	0.98417
451.6	0.98079
451.8	0.97827
452.0	0.97332
452.2	0.96991
452.4	0.96891
452.6	0.97023
452.8	0.97233
453.0	0.97626
453.2	0.97893
453.4	0.97996
453.6	0.97807
453.8	0.97608
454.0	0.9732
454.2	0.97189
454.4	0.97223
454.6	0.97462
454.8	0.97762
455.0	0.9812
455.2	0.98314
455.4	0.98316
455.6	0.98226
455.8	0.97917
456.0	0.97543
456.2	0.9741
456.4	0.97247
456.6	0.97354
456.8	0.9753
457.0	0.97643
457.2	0.97776
457.4	0.9755
457.6	0.97361
457.8	0.96944
458.0	0.96684
458.2	0.96506
458.4	0.96617
458.6	0.96918
458.8	0.97179
459.0	0.97508
459.2	0.97976
459.4	0.97891
459.6	0.97781
459.8	0.97624
460.0	0.97422
460.2	0.97226
460.4	0.97324
460.6	0.97535
460.8	0.97786
461.0	0.98084
461.2	0.98183
461.4	0.98122
461.6	0.97867
461.8	0.97562
462.0	0.97219
462.2	0.97034
462.4	0.96945
462.6	0.96985
462.8	0.97249
463.0	0.97355
463.2	0.97635
463.4	0.97685
463.6	0.97478
463.8	0.97369
464.0	0.97127
464.2	0.97041
464.4	0.97107
464.6	0.97212
464.8	0.97433
465.0	0.97691
465.2	0.97839
465.4	0.97885
465.6	0.9783
465.8	0.97694
466.0	0.97399
466.2	0.97282
466.4	0.97308
466.6	0.97448
466.8	0.97653
467.0	0.97885
467.2	0.98073
467.4	0.98057
467.6	0.97952
467.8	0.9772
468.0	0.97258
468.2	0.96951
468.4	0.9688
468.6	0.96767
468.8	0.97023
469.0	0.97252
469.2	0.9737
469.4	0.97391
469.6	0.97336
469.8	0.9703
470.0	0.96849
470.2	0.96434
470.4	0.96243
470.6	0.96325
470.8	0.96473
471.0	0.96961
471.2	0.97245
471.4	0.97564
471.6	0.97867
471.8	0.97801
472.0	0.97632
472.2	0.97676
472.4	0.97404
472.6	0.97379
472.8	0.97518
473.0	0.97626
473.2	0.9796
473.4	0.98223
473.6	0.98163
473.8	0.98106
474.0	0.97765
474.2	0.97262
474.4	0.96925
474.6	0.96498
474.8	0.96373
475.0	0.9643
475.2	0.96592
475.4	0.96979
475.6	0.97264
475.8	0.9743
476.0	0.97437
476.2	0.97202
476.4	0.96727
476.6	0.96303
476.8	0.95979
477.0	0.95878
477.2	0.95984
477.4	0.96303
477.6	0.96896
477.8	0.97362
478.0	0.97923
478.2	0.98224
478.4	0.98397
478.6	0.98246
478.8	0.97918
479.0	0.97626
479.2	0.97267
479.4	0.97107
479.6	0.97163
479.8	0.97237
480.0	0.97362
480.2	0.97588
480.4	0.97547
480.6	0.97527
480.8	0.97334
481.0	0.97055
481.2	0.97003
481.4	0.96885
481.6	0.96877
481.8	0.97082
482.0	0.97347
482.2	0.97564
482.4	0.9762
482.6	0.97669
482.8	0.97452
483.0	0.97164
483.2	0.96765
483.4	0.96523
483.6	0.96436
483.8	0.96471
484.0	0.96888
484.2	0.97354
484.4	0.97947
484.6	0.98337
484.8	0.9864
485.0	0.9863
485.2	0.98467
485.4	0.98047
485.6	0.97551
485.8	0.97007
486.0	0.96803
486.2	0.96676
486.4	0.96782
486.6	0.97143
486.8	0.97547
487.0	0.97778
487.2	0.97977
487.4	0.978
487.6	0.97524
487.8	0.97086
488.0	0.9657
488.2	0.96166
488.4	0.96052
488.6	0.95974
488.8	0.9625
489.0	0.96701
489.2	0.97144
489.4	0.975
489.6	0.97837
489.8	0.97818
490.0	0.97589
490.2	0.97333
490.4	0.96974
490.6	0.96734
490.8	0.96596
491.0	0.96686
491.2	0.96939
491.4	0.97413
491.6	0.97784
491.8	0.98051
492.0	0.98187
492.2	0.98138
492.4	0.97924
492.6	0.97557
492.8	0.97198
493.0	0.96846
493.2	0.96763
493.4	0.96797
493.6	0.96964
493.8	0.97199
494.0	0.97541
494.2	0.9765
494.4	0.97667
494.6	0.97608
494.8	0.9733
495.0	0.9702
495.2	0.96667
495.4	0.96523
495.6	0.96264
495.8	0.96524
496.0	0.96859
496.2	0.97111
496.4	0.9749
496.6	0.97765
496.8	0.97855
497.0	0.97867
497.2	0.97631
497.4	0.9739
497.6	0.97015
497.8	0.96852
498.0	0.96994
498.2	0.97124
498.4	0.97438
498.6	0.97885
498.8	0.98121
499.0	0.98443
499.2	0.98522
499.4	0.9833
499.6	0.97892
499.8	0.97478
500.0	0.96596
500.2	0.95985
500.4	0.95934
500.6	0.95801
500.8	0.95951
501.0	0.96282
501.2	0.96348
501.4	0.96311
501.6	0.96316
501.8	0.95975
502.0	0.95483
502.2	0.95055
502.4	0.94733
502.6	0.94409
502.8	0.94344
503.0	0.94654
503.2	0.94855
503.4	0.95343
503.6	0.96024
503.8	0.96533
504.0	0.96806
